Địa phương,Năm,Trường,Lớp,Học sinh,Học sinh nữ,Học sinh dân tộc thiểu số,Giáo viên,Giáo viên nữ,Giáo viên dân tộc thiểu số,Học sinh nam,Giáo viên nam
An Giang,2004,138,3207,128010,60702,5667,5140,2925,37,67308,2215
An Giang,2005,142,3660,123396,59249,6013,5434,3038,59,64147,2396
An Giang,2006,147,3152,117918,52897,5560,5893,3248,58,65021,2645
An Giang,2007,149,3025,110991,59076,5127,6330,3486,34,51915,2844
An Giang,2008,152,3183,109428,54620,4937,6455,3621,76,54808,2834
An Giang,2009,154,2950,104860,50689,4503,6711,3707,72,54171,3004
An Giang,2010,155,3047,102852,51426,4941,6796,3867,86,51426,2929
An Giang,2011,155,3091,104691,52271,5177,6737,3813,96,52420,2924
An Giang,2012,154,3113,106962,53279,5732,6833,3882,105,53683,2951
An Giang,2013,155,3189,111028,54955,5986,7048,4037,103,56073,3011
An Giang,2014,156,3273,113789,56320,6038,7038,4012,110,57469,3026
An Giang,2015,156,3356,114935,56933,5966,6951,3929,106,58002,3022
An Giang,2016,156,3371,118338,58890,5883,6868,3885,117,59448,2983
An Giang,2017,156,3441,122497,60691,6068,6847,3872,123,61806,2975
An Giang,2018,156,3470,96304,61528,6224,6696,3829,130,34776,2867
An Giang,2019,155,3483,128147,63156,6372,6671,3786,136,64991,2885
An Giang,2020,154,3518,130961,64454,6600,6621,3752,136,66507,2869
An Giang,2021,151,3486,125895,61675,6807,6648,3773,150,64220,2875
Bà Rịa - Vũng Tàu,2004,69,1765,72113,35325,1066,3040,2224,0,36788,816
Bà Rịa - Vũng Tàu,2005,70,1831,72031,35571,1137,3236,2284,0,36460,952
Bà Rịa - Vũng Tàu,2006,70,1901,72598,35882,1456,3304,2354,0,36716,950
Bà Rịa - Vũng Tàu,2007,71,1865,71375,34806,1334,3410,2466,0,36569,944
Bà Rịa - Vũng Tàu,2008,73,1875,67850,33356,1515,3510,2628,0,34494,882
Bà Rịa - Vũng Tàu,2009,74,1861,63697,31348,1463,3538,2658,0,32349,880
Bà Rịa - Vũng Tàu,2010,76,1860,61076,29953,1448,3538,2668,0,31123,870
Bà Rịa - Vũng Tàu,2011,78,1870,61827,30337,1476,3508,2648,0,31490,860
Bà Rịa - Vũng Tàu,2012,82,1915,61827,30047,1612,3548,2687,0,31780,861
Bà Rịa - Vũng Tàu,2013,85,1965,63634,30907,1603,3614,2738,0,32727,876
Bà Rịa - Vũng Tàu,2014,85,2035,66679,32757,1555,3612,2758,0,33922,854
Bà Rịa - Vũng Tàu,2015,87,2072,66989,32856,1645,3743,2866,0,34133,877
Bà Rịa - Vũng Tàu,2016,87,2107,68220,33553,1666,3702,2840,0,34667,862
Bà Rịa - Vũng Tàu,2017,88,2108,69807,34088,1687,3697,2829,26,35719,868
Bà Rịa - Vũng Tàu,2018,88,2061,69747,33956,1859,3069,2850,30,35791,219
Bà Rịa - Vũng Tàu,2019,88,2039,72730,35303,1721,3697,2870,33,37427,827
Bà Rịa - Vũng Tàu,2020,89,2071,76207,37006,2060,3618,2823,35,39201,795
Bà Rịa - Vũng Tàu,2021,90,2105,75882,36793,2151,3737,2927,44,39089,810
Bình Dương,2004,43,1357,55243,26848,0,2422,1715,0,28395,707
Bình Dương,2005,48,1352,54860,27063,0,2467,1812,0,27797,655
Bình Dương,2006,49,1384,55721,27451,404,2533,1866,0,28270,667
Bình Dương,2007,51,1379,54235,26797,359,2546,2270,0,27438,276
Bình Dương,2008,53,1372,52937,25927,359,2711,1993,0,27010,718
Bình Dương,2009,54,1376,51105,24914,348,2808,2092,0,26191,716
