Địa phương,Năm,Lớp,Trường,Học sinh,Học sinh nữ,Học sinh dân tộc thiểu số,Giáo viên,Giáo viên nữ,Giáo viên dân tộc thiểu số,Học sinh nam,Giáo viên nam
An Giang,2004,1056,56,48155,22983,1406,1794,764,39,25172,1030
An Giang,2005,1112,55,48697,23419,1670,2062,953,44,25278,1109
An Giang,2006,1125,53,45929,21894,1627,2316,1017,69,24035,1299
An Giang,2007,1577,52,43531,22567,1291,2452,1158,17,20964,1294
An Giang,2008,1056,48,42409,22454,789,2553,1195,27,19955,1358
An Giang,2009,1096,47,41748,22186,1160,2791,1327,57,19562,1464
An Giang,2010,1120,47,41882,22898,1184,2894,1450,59,18984,1444
An Giang,2011,1188,44,43580,23744,1190,2957,1509,60,19836,1448
An Giang,2012,1239,44,45686,24653,702,2901,1482,61,21033,1419
An Giang,2013,1218,43,44006,23321,1353,3045,1554,65,20685,1491
An Giang,2014,1213,42,43195,22852,1576,3014,1551,67,20343,1463
An Giang,2015,1221,42,43040,23237,1620,2992,1539,67,19803,1453
An Giang,2016,1262,42,45393,24728,1694,2877,1462,57,20665,1415
An Giang,2017,1269,42,46222,25012,1649,2963,1519,52,21210,1444
An Giang,2018,1239,42,36691,24973,1566,2863,1522,55,11718,1341
An Giang,2019,1261,43,49558,26569,1667,2931,1525,58,22989,1406
An Giang,2020,1302,43,53061,29048,1875,2954,1546,57,24013,1408
An Giang,2021,1333,43,55498,30270,2074,2939,1551,55,25228,1388
Bà Rịa - Vũng Tàu,2004,753,21,33445,17197,326,1338,1200,0,16248,138
Bà Rịa - Vũng Tàu,2005,836,22,36365,18732,371,1552,977,0,17633,575
Bà Rịa - Vũng Tàu,2006,875,24,37721,18614,444,1600,975,0,19107,625
Bà Rịa - Vũng Tàu,2007,891,25,37568,19953,416,1718,1049,0,17615,669
Bà Rịa - Vũng Tàu,2008,889,25,36578,20306,380,1872,1164,0,16272,708
Bà Rịa - Vũng Tàu,2009,882,25,34678,19575,489,2202,1182,0,15103,1020
