Địa phương,Năm,Học sinh dân tộc thiểu số,Trường,Lớp,Học sinh,Giáo viên,Giáo viên nữ,Học sinh nữ,Giáo viên dân tộc thiểu số,Học sinh nam,Giáo viên nam
An Giang,2004,11557,400,6698,198452,7765,4418,95622,207,102830,3347
An Giang,2005,10967,400,6443,186459,7645,4240,90124,219,96335,3405
An Giang,2006,10068,395,6366,181411,7146,4197,85727,181,95684,2949
An Giang,2007,9553,392,6267,176887,7834,4333,82864,213,94023,3501
An Giang,2008,9836,395,6159,173058,7401,4250,83900,200,89158,3151
An Giang,2009,10064,393,6271,177594,7746,4364,85418,206,92176,3382
An Giang,2010,10503,396,6366,182857,7969,4533,88471,218,94386,3436
An Giang,2011,10614,390,6448,186167,8060,4619,89747,244,96420,3441
An Giang,2012,10550,392,6527,188425,8493,4866,91404,271,97021,3627
An Giang,2013,10608,357,6579,193255,8747,5009,93762,287,99493,3738
An Giang,2014,10680,346,6664,196431,8983,5188,94924,290,101507,3795
An Giang,2015,10932,339,6673,199045,8932,5124,96221,301,102824,3808
An Giang,2016,10953,334,6605,192524,8856,4977,92888,301,99636,3879
An Giang,2017,11157,328,6562,189176,8836,5091,91344,296,97832,3745
An Giang,2018,11535,325,6503,163904,9120,5098,92512,302,71392,4022
An Giang,2019,11966,322,6413,188619,8748,5106,91092,309,97527,3642
An Giang,2020,11896,319,6244,180505,8675,5081,87125,312,93380,3594
An Giang,2021,11873,312,6149,176816,8594,5043,85694,321,91122,3551
Bà Rịa - Vũng Tàu,2004,1908,139,2936,91690,3551,3017,43974,0,47716,534
Bà Rịa - Vũng Tàu,2005,1884,139,2882,87509,3649,3079,41932,0,45577,570
Bà Rịa - Vũng Tàu,2006,1948,142,2852,85747,3665,3092,41848,0,43899,573
Bà Rịa - Vũng Tàu,2007,1948,143,2819,84427,3639,3063,40554,0,43873,576
Bà Rịa - Vũng Tàu,2008,2186,141,2830,84285,3862,3272,40959,0,43326,590
Bà Rịa - Vũng Tàu,2009,2259,140,2869,88051,3898,3292,42497,0,45554,606
Bà Rịa - Vũng Tàu,2010,2305,145,2983,90716,4098,3453,43715,0,47001,645
Bà Rịa - Vũng Tàu,2011,2240,144,3023,91387,4067,3455,43899,0,47488,612
Bà Rịa - Vũng Tàu,2012,2361,143,3035,92882,4069,3418,44432,0,48450,651
Bà Rịa - Vũng Tàu,2013,2508,144,3116,95720,4238,3589,45851,0,49869,649
Bà Rịa - Vũng Tàu,2014,2733,146,3171,98336,4395,3761,46732,0,51604,634
Bà Rịa - Vũng Tàu,2015,2762,142,3187,100255,4396,3775,48048,0,52207,621
Bà Rịa - Vũng Tàu,2016,2783,143,3219,98290,4398,3561,46862,0,51428,837
Bà Rịa - Vũng Tàu,2017,2918,143,3400,102399,4449,3809,49077,32,53322,640
Bà Rịa - Vũng Tàu,2018,3219,140,3203,109327,4512,3828,52185,36,57142,684
Bà Rịa - Vũng Tàu,2019,3346,136,3214,112351,4458,3846,53684,39,58667,612
Bà Rịa - Vũng Tàu,2020,3476,134,3245,113851,4439,3835,54315,39,59536,604
Bà Rịa - Vũng Tàu,2021,3624,136,3307,118820,4467,3858,57243,49,61577,609
Bình Dương,2004,0,122,2459,69837,3383,2754,32398,0,37439,629
Bình Dương,2005,0,129,2433,69105,3296,2690,32902,0,36203,606
Bình Dương,2006,531,131,2422,71253,3294,2706,33942,0,37311,588
Bình Dương,2007,703,131,2423,73713,3247,2649,35023,0,38690,598
Bình Dương,2008,727,129,2516,76576,3223,2649,37256,0,39320,574
Bình Dương,2009,901,129,2698,85357,3553,2858,40839,0,44518,695
Bình Dương,2010,1353,133,2769,92435,3638,2996,44140,0,48295,642
Bình Dương,2011,1075,136,3057,100924,3801,3143,48295,0,52629,658
Bình Dương,2012,1471,136,3107,110134,4182,3442,52658,0,57476,740
Bình Dương,2013,1887,136,3370,123441,4868,3583,58837,0,64604,1285
Bình Dương,2014,2298,139,3597,135468,5255,4417,64660,0,70808,838
Bình Dương,2015,2875,145,4046,151738,5586,4724,72087,0,79651,862
Bình Dương,2016,3645,151,4117,157396,5919,4397,75040,0,82356,1522
Bình Dương,2017,4774,152,4521,172503,6209,5295,82389,0,90114,914
Bình Dương,2018,6835,150,4647,193811,6361,5342,92713,0,101098,1019
Bình Dương,2019,7926,149,4897,205273,6308,5388,98151,0,107122,920
Bình Dương,2020,8547,154,5030,211122,6558,5609,100759,0,110363,949
Bình Dương,2021,9104,158,5312,221591,6614,5663,106277,0,115314,951
Bình Phước,2004,21417,142,3483,92287,4242,3676,44037,144,48250,566
Bình Phước,2005,21699,144,3330,91412,4301,3629,43733,140,47679,672
Bình Phước,2006,10207,148,3352,90017,4232,3636,43087,152,46930,596
Bình Phước,2007,21627,152,3394,89938,4396,3719,42483,152,47455,677
Bình Phước,2008,21339,159,3446,89514,4546,3819,42808,197,46706,727
Bình Phước,2009,19230,163,3469,91020,4637,3676,41688,191,49332,961
Bình Phước,2010,22160,166,3629,91869,4715,3883,44440,235,47429,832
Bình Phước,2011,22101,169,3608,92149,4559,3777,44119,266,48030,782
Bình Phước,2012,22100,172,3590,93195,4631,3782,44636,297,48559,849
Bình Phước,2013,22233,171,3772,95380,4862,3950,45783,335,49597,912
Bình Phước,2014,22026,173,3683,97312,4904,4018,46708,340,50604,886
Bình Phước,2015,21480,173,3653,99150,5005,4119,47854,380,51296,886
Bình Phước,2016,20719,173,3625,96877,5027,4087,46619,398,50258,940
Bình Phước,2017,20091,174,3574,97441,4935,4066,47147,399,50294,869
Bình Phước,2018,20625,156,3548,101500,5047,4057,48974,401,52526,990
Bình Phước,2019,21102,137,3546,102260,4964,4048,49402,403,52858,916
Bình Phước,2020,21393,123,3509,102551,4866,3971,49514,411,53037,895
Bình Phước,2021,21835,122,3532,106761,4787,3910,51661,402,55100,877
Bình Thuận,2004,12590,269,4579,139610,5558,4644,67542,189,72068,914
Bình Thuận,2005,11674,273,4385,128187,5471,4553,61978,184,66209,918
Bình Thuận,2006,10787,274,4193,119310,5254,4436,57708,183,61602,818
Bình Thuận,2007,10521,274,4084,113571,5259,4450,54567,210,59004,809
Bình Thuận,2008,10383,278,4049,109348,5226,4405,52635,190,56713,821
Bình Thuận,2009,10250,281,4288,109631,5295,4442,52999,151,56632,853
Bình Thuận,2010,10195,282,4388,110160,5395,4501,53503,221,56657,894
Bình Thuận,2011,10371,281,4132,109677,5394,4494,53005,234,56672,900
Bình Thuận,2012,10230,279,4106,109862,5472,4547,53335,246,56527,925
Bình Thuận,2013,10269,280,4138,111456,5716,4713,54030,281,57426,1003
Bình Thuận,2014,10246,280,4127,111499,5760,4757,53882,303,57617,1003
Bình Thuận,2015,10406,278,4150,112737,5886,4821,54598,312,58139,1065
Bình Thuận,2016,10252,277,4014,109946,5895,4639,53198,333,56748,1256
Bình Thuận,2017,10418,277,4040,111050,5860,4823,53850,332,57200,1037
Bình Thuận,2018,11317,262,4175,116574,5802,4861,56416,356,60158,941
Bình Thuận,2019,11215,248,4155,118162,5971,4899,57323,381,60839,1072
