Cấp học,Năm học,Giáo viên (nghìn),Học sinh (nghìn),Lớp (nghìn),Trường,HS/GV,HS/Lớp,Học sinh nữ (nghìn),Nữ giáo viên (nghìn)
Tổng số,2004,771.0,17122.6,519.7,26817.0,16.1,28.6,8234.8,546.3
Tổng số,2005,780.5,16650.6,508.7,27227.0,16.8,29.4,8086.0,550.3
Tổng số,2006,789.6,16256.6,501.2,27593.0,16.9,29.6,7887.5,557.3
Tổng số,2007,800.6,15685.2,495.2,27898.0,17.1,29.7,7671.4,564.4
Tổng số,2008,806.9,15127.9,486.2,28114.0,17.4,29.9,7434.7,568.6
Tổng số,2009,818.7,14912.1,484.5,28408.0,17.6,30.1,7337.3,579.1
Tổng số,2010,830.9,14792.8,490.5,28593.0,17.8,30.2,7304.4,590.0
Tổng số,2011,828.1,14782.6,488.1,28803.0,17.5,30.1,7302.0,588.4
Tổng số,2012,847.5,14747.1,486.3,28916.0,17.3,30.3,7226.8,596.8
Tổng số,2013,855.2,14900.7,490.8,28977.0,17.4,30.4,7301.2,600.4
Tổng số,2014,856.7,15082.4,494.5,28922.0,17.6,30.5,7396.9,613.9
Tổng số,2015,861.279,15353.795,501.033,28951.0,17.8267379095508,30.6442789197518,7540.099999999999,618.8
Tổng số,2016,858.772,15514.259,494.289,28791.0,18.0656320886103,31.3870205487073,7618.4000000000015,598.5
Tổng số,2017,852.998,15924.045,499.35,28710.0,18.668326303227,31.8895464103334,7809.0,615.7
Tổng số,2018,826.65,16525.868,497.342,27723.0,19.9913724067017,33.228378057755,8092.774,596.142
Tổng số,2019,804.509,16966.971,500.4,26589.0,21.0898461048913,33.9005160911341,8296.284,585.58
Tổng số,2020,816.703,17547.037,510.979,26347.0,21.4852118824101,34.3400355004805,8563.236,596.674
Tổng số,2021,813.206,17921.14,517.352,26143,22.03764,34.64013,8740.569,596.023
