id,sub_organ_code,organ_name,ownership_percent,symbol
22253225,10709,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,0.0,YTC
22253210,0106245835,Công ty Cổ Phần Sóng Toàn Cầu,0.1796,YEG
22253211,0109406470,Công ty Cổ Phần Truyền Thông Công Nghệ Netlink Việt Nam,0.35,YEG
22253212,0317178271,Công ty Cổ Phần Eco Consumer,0.4999,YEG
22253213,DEG100,Công ty Cổ phần Giải trí 100 Độ,0.2999,YEG
22253214,KOLORLIFE,Công ty Cổ Phần Công Nghệ Tự Động Kolorlife,0.35,YEG
22253215,MEDIAONE,Công ty Cổ Phần Công Nghệ Truyền Thông Số 1,0.4999,YEG
22253216,VNENT,Công ty Cổ phần Đầu tư Việt Nam Giải trí,0.134,YEG
22253217,YEEDIGITAL,Công ty Cổ Phần Yeah1 Edigital,0.35,YEG
22253218,ZMEDIA,Công Ty Cổ Phần Zmedia,0.2499,YEG
22253172,ESCO,CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ KỸ THUẬT ĐIỆN,0.45,XMC
22253173,SONANUDI,Công ty Cổ Phần Đầu Tư Phát Triển Đô Thị Sơn An,0.321,XMC
22253174,XMDN,CÔNG TY CỔ PHẦN XUÂN MAI ĐÀ NẴNG,0.49,XMC
22253175,XMMN,Công ty Cổ phần Bê tông Xuân Mai Miền Nam,0.49,XMC
22253176,XMSG,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG XUÂN MAI SÀI GÒN,0.2,XMC
22253146,CO199,Công ty Cổ Phần 199,0.334,X20
22253141,SBL,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,0.2,WSB
22253132,ANOVA,Công ty Cổ phần Tập đoàn Nova Consumer,0.0,VXP
22252507,12565,"Công ty CP Nước, Môi Trường Và Hạ Tầng Kỹ Thuật Sài Gòn",0.4881,VWS
22252508,12566,Công ty Cổ Phần Tư Vấn Và Đầu Tư Xây Dựng Hạ Tầng Phương Đông,0.4897,VWS
22252509,12567,"Công ty Cổ Phần Đầu Tư, Công Nghệ Môi Trường Và Hạ Tầng Kỹ Thuật Lạc Việt",0.4448,VWS
22252510,VNCC,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,0.0,VWS
22252401,0104387753,Công ty Cổ Phần Đầu Tư Năng Lượng Vinaincon,0.4118,VVN
22252402,0105734093,Công ty CP Thi Công Cơ Giới Vinaincon,0.2799,VVN
22252403,0107273056,Công ty Cổ phần Tư Vấn Thiết Kế Và Xây Dựng Vinaincon,0.207,VVN
22252404,12689,Công Ty Cổ Phần Bê Tông Ly Tâm Vinaincon,0.2,VVN
22252405,4600425562,Công Ty Cổ Phần Khai Thác Đá Vôi Quang Sơn,0.25,VVN
22252406,CSSC,Công ty Cổ phần Kết cấu thép Xây dựng,0.2311,VVN
22252407,HOMEC,Công ty Cổ phần Cơ khí Hồng Nam,0.2737,VVN
22252408,ICI,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,0.36,VVN
22253099,VGC,Tổng Công ty Viglacera - Công ty Cổ phần,0.0,VTS
22252280,2040199,Công ty TNHH Tiếp Thị Và Du Lịch Vận Tải Việt Nam,0.49,VTR
22253097,10731,Công ty TNHH Chăn Nuôi Hòa Phát Quảng Bình,0.2728,VTQ
22253079,HAPRO,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,0.0,VTL
22253074,12550,Công ty Cổ Phần Sản Xuất Ứng Dụng Công Nghệ Cao Thái Sơn,0.405,VTJ
