id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity,symbol
9,Huỳnh Công Triết,Thành viên Ban kiểm soát,TV BKS,2025-04-15,0.0002,1860,YTC
2,Nguyễn Quốc Việt,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2020-07-13,0.0,0,YTC
3,Lê Văn Thiện,Thành viên Hội đồng Quản trị,TV HĐQT,2024-04-17,0.0,0,YTC
4,Phan Minh Trung,Tổng Giám đốc/Phụ trách Công bố thông tin,TGĐ/Phụ trách CBTT,2025-02-11,0.0,0,YTC
1,Phan Phương Anh,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2020-06-30,0.0,0,YTC
6,Trần Thị Nhàn,Kế toán trưởng,Kế toán trưởng,2025-02-11,0.0,0,YTC
7,Nguyễn Hoàng Giang,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-11,0.0,0,YTC
8,Trương Thị Hồng Nhạn,Thành viên Ban kiểm soát,TV BKS,2025-04-15,0.0,0,YTC
5,Nguyễn Khánh Linh,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-11,0.0,0,YTC
15,Đào Phúc Trí,Phó Chủ tịch Hội đồng Quản trị/Tổng Giám đốc,Phó Chủ tịch HĐQT/TGĐ,2024-08-23,0.0459,6027000,YEG
16,Võ Thái Phong,Phó Tổng Giám đốc Tài chính,Phó TGĐ - Tài chính,2025-02-17,0.0027,79802,YEG
8,Nguyễn Ngọc Hưng,Phó Tổng Giám đốc,Phó TGĐ,2019-03-26,0.0009,26087,YEG
18,Trần Thị Mỹ Duyên,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2025-03-04,0.0005957,114261,YEG
9,Nguyễn Vũ Nghị,Phó Tổng Giám đốc,Phó TGĐ,2019-09-25,0.0003,10111,YEG
17,Nguyễn Văn Nam,Thành viên Ban Kiểm toán nội bộ,Thành viên BKT nội bộ,2025-03-04,0.00022,42168,YEG
7,Lâm Quốc Thái,Thành viên Ban Kiểm toán nội bộ,Thành viên BKT nội bộ,2018-06-22,0.0,0,YEG
1,Nguyễn Ảnh Nhượng Tống,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2018-06-22,0.0,0,YEG
11,Nguyễn Đặng Quỳnh Anh,Phó Tổng Giám đốc,Phó TGĐ,2020-05-15,0.0,0,YEG
12,Nguyễn Văn Cang,Phó Tổng Giám đốc Tài chính,Phó TGĐ - Tài chính,2020-08-03,0.0,0,YEG
13,Nguyễn Quang Vinh,Phó Giám đốc Điều hành/Thành viên Hội đồng Quản trị độc lập/Phó Tổng Giám đốc Tài chính,Phó GĐ điều hành/Thành viên HĐQT độc lập/Phó TGĐ - Tài chính,2022-09-28,0.0,0,YEG
14,Punnya Niraan De Silva,Thành viên Hội đồng Quản trị,TV HĐQT,2024-06-11,0.0,0,YEG
10,Nguyễn Thị Ngọc Nữ,Kế toán trưởng,Kế toán trưởng,2019-10-18,0.0,3,YEG
2,Hoàng Đức Trung,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2018-06-22,0.0,0,YEG
3,Don Di Lam,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2018-06-22,0.0,0,YEG
4,Nguyễn Ngọc Dũng,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2018-06-22,0.0,0,YEG
5,Lý Trường Chiến,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2018-06-22,0.0,0,YEG
6,Trần Quốc Bảo,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2018-06-22,0.0,0,YEG
4,Đào Thị Dịu,Kế toán trưởng/Phụ trách Công bố thông tin,Kế toán trưởng/Phụ trách CBTT,2025-02-13,0.035,500591,YBM
5,Lê Hoàn,Phó Giám đốc,Phó GĐ,2025-02-13,0.0105,150000,YBM
3,Vũ Đức Hậu,Thành viên Hội đồng Quản trị/Giám đốc,TV HĐQT/GĐ,2025-02-13,0.0074,105938,YBM
6,Nguyễn Thị Bưởi,Trưởng Ban Kiểm toán nội bộ ,Trưởng BKT nội bộ ,2025-02-13,0.0037,52969,YBM
