id,sub_organ_code,ownership_percent,organ_name,type,symbol
22253196,0102768915,0.51,Công ty Cổ Phần Tổ Hợp Truyền Thông Stv,công ty con,YEG
22253197,0314526114,0.99887,Công ty TNHH Yeah1 Network Việt Nam,công ty con,YEG
22253198,0317420589,0.0,Công ty TNHH Yeah1 Up,công ty con,YEG
22253199,0317690271,1.0,Công Ty TNHH 1production,công ty con,YEG
22253200,1301092937,0.51,Công Ty Trách Nhiệm Hữu Hạn Trung Tâm Công Nghệ Và Chuyển Đổi Số,công ty con,YEG
22253201,APPNEWS,0.7699,Công ty Cổ phần Appnews Việt Nam,công ty con,YEG
22253202,DEMT,0.9998,Công ty Cổ Phần Tập Đoàn Care,công ty con,YEG
22253203,NETLINK,0.9999,Công ty Cổ phần Công nghệ Thương mại Giga1,công ty con,YEG
22253204,ONCOMM,0.0,Công ty Cổ Phần Truyền Thông On+,công ty con,YEG
22253205,YAGENT,0.95,Công ty Cổ Phần Yag Entertainment,công ty con,YEG
22253206,YEECORP,0.99,Công ty Cổ Phần Giải Trí Yeah1,công ty con,YEG
22253207,YEEDIGITAL,0.35,Công ty Cổ Phần Yeah1 Edigital,công ty con,YEG
22253208,YESCORP,0.67,Công Ty Cổ Phần Đầu Tư Và Sản Xuất Phim Đại Sứ Trẻ,công ty con,YEG
22253209,YSSCO,0.5098,Công Ty CP Siêu Sao Yeah1,công ty con,YEG
22253210,0106245835,0.1796,Công ty Cổ Phần Sóng Toàn Cầu,công ty liên kết,YEG
22253211,0109406470,0.35,Công ty Cổ Phần Truyền Thông Công Nghệ Netlink Việt Nam,công ty liên kết,YEG
22253212,0317178271,0.4999,Công ty Cổ Phần Eco Consumer,công ty liên kết,YEG
22253213,DEG100,0.2999,Công ty Cổ phần Giải trí 100 Độ,công ty liên kết,YEG
22253214,KOLORLIFE,0.35,Công ty Cổ Phần Công Nghệ Tự Động Kolorlife,công ty liên kết,YEG
22253215,MEDIAONE,0.4999,Công ty Cổ Phần Công Nghệ Truyền Thông Số 1,công ty liên kết,YEG
22253216,VNENT,0.134,Công ty Cổ phần Đầu tư Việt Nam Giải trí,công ty liên kết,YEG
22253217,YEEDIGITAL,0.35,Công ty Cổ Phần Yeah1 Edigital,công ty liên kết,YEG
22253218,ZMEDIA,0.2499,Công Ty Cổ Phần Zmedia,công ty liên kết,YEG
22253163,3702940137,1.0,CÔNG TY TNHH MTV XUÂN MAI BÌNH DƯƠNG,công ty con,XMC
22253164,XMCONCRETE,1.0,CÔNG TY TNHH MTV BÊ TÔNG XUÂN MAI,công ty con,XMC
22253165,XMD,0.8639,Công ty Cổ phần Xuân Mai - Đạo Tú,công ty con,XMC
22253166,XMHCO,0.9889,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KINH DOANH BẤT ĐỘNG SẢN XUÂN MAI,công ty con,XMC
22253167,XMLCO,0.8353,CÔNG TY CỔ PHẦN XÂY LẮP XUÂN MAI,công ty con,XMC
22253168,XMMECHA,0.97,CÔNG TY CỔ PHẦN CƠ ĐIỆN XUÂN MAI,công ty con,XMC
22253169,XMTCO,0.8654,CÔNG TY CỔ PHẦN TƯ VẤN THIẾT KẾ XUÂN MAI,công ty con,XMC
22253170,XMTHANHHOA,0.51,CÔNG TY CỔ PHẦN XUÂN MAI THANH HÓA,công ty con,XMC
