Ðịa phương,Năm,Tiểu học,Trung học cơ sở,Trung học phổ thông,Tổng số
An Giang,2002,7091.0,3073.0,1007.0,11171.0
An Giang,2003,6815.0,3128.0,1074.0,11017.0
An Giang,2004,6698.0,3207.0,1056.0,10961.0
An Giang,2005,6443.0,3660.0,1112.0,11215.0
An Giang,2006,6366.0,3152.0,1125.0,10643.0
An Giang,2007,6267.0,3025.0,1577.0,10869.0
An Giang,2008,6159.0,3183.0,1056.0,10398.0
An Giang,2009,6271.0,2950.0,1096.0,10317.0
An Giang,2010,6366.0,3047.0,1120.0,10533.0
An Giang,2011,6448.0,3091.0,1188.0,10727.0
An Giang,2012,6527.0,3113.0,1239.0,10879.0
An Giang,2013,6579.0,3189.0,1218.0,10986.0
An Giang,2014,6664.0,3273.0,1213.0,11150.0
An Giang,2015,6673.0,3356.0,1221.0,11250.0
An Giang,2016,6605.0,3371.0,1262.0,11238.0
An Giang,2017,6562.0,3441.0,1269.0,11272.0
An Giang,2018,6503.0,3470.0,1239.0,11212.0
An Giang,2019,6413.0,3483.0,1261.0,11157.0
An Giang,2020,6244.0,3518.0,1302.0,11064.0
An Giang,2021,6149.0,3486.0,1333.0,10968.0
An Giang,2023,5735.0,3414.0,1354.0,10503.0
Bà Rịa - Vũng Tàu,2002,3119.0,1684.0,619.0,5422.0
Bà Rịa - Vũng Tàu,2003,3036.0,1684.0,638.0,5358.0
Bà Rịa - Vũng Tàu,2004,2936.0,1765.0,753.0,5454.0
Bà Rịa - Vũng Tàu,2005,2882.0,1831.0,836.0,5549.0
Bà Rịa - Vũng Tàu,2006,2852.0,1901.0,875.0,5628.0
Bà Rịa - Vũng Tàu,2007,2819.0,1865.0,891.0,5575.0
Bà Rịa - Vũng Tàu,2008,2830.0,1875.0,889.0,5594.0
Bà Rịa - Vũng Tàu,2009,2869.0,1861.0,882.0,5612.0
Bà Rịa - Vũng Tàu,2010,2983.0,1860.0,947.0,5790.0
Bà Rịa - Vũng Tàu,2011,3023.0,1870.0,902.0,5795.0
Bà Rịa - Vũng Tàu,2012,3035.0,1915.0,966.0,5916.0
Bà Rịa - Vũng Tàu,2013,3116.0,1965.0,936.0,6017.0
Bà Rịa - Vũng Tàu,2014,3171.0,2035.0,940.0,6146.0
Bà Rịa - Vũng Tàu,2015,3187.0,2072.0,947.0,6206.0
Bà Rịa - Vũng Tàu,2016,3219.0,2107.0,954.0,6280.0
Bà Rịa - Vũng Tàu,2017,3400.0,2108.0,956.0,6464.0
Bà Rịa - Vũng Tàu,2018,3203.0,2061.0,952.0,6216.0
Bà Rịa - Vũng Tàu,2019,3214.0,2039.0,948.0,6201.0
Bà Rịa - Vũng Tàu,2020,3245.0,2071.0,964.0,6280.0
Bà Rịa - Vũng Tàu,2021,3307.0,2105.0,954.0,6366.0
Bà Rịa - Vũng Tàu,2023,3197.0,2131.0,986.0,6314.0
Bình Dương,2002,2520.0,1319.0,559.0,4398.0
Bình Dương,2003,2514.0,1348.0,573.0,4435.0
Bình Dương,2004,2459.0,1357.0,622.0,4438.0
Bình Dương,2005,2433.0,1352.0,678.0,4463.0
Bình Dương,2006,2422.0,1384.0,686.0,4492.0
Bình Dương,2007,2423.0,1379.0,649.0,4451.0
Bình Dương,2008,2516.0,1372.0,618.0,4506.0
Bình Dương,2009,2698.0,1376.0,610.0,4684.0
Bình Dương,2010,2769.0,1383.0,623.0,4775.0
Bình Dương,2011,3057.0,1479.0,647.0,5183.0
Bình Dương,2012,3107.0,1561.0,648.0,5316.0
Bình Dương,2013,3370.0,1715.0,704.0,5789.0
Bình Dương,2014,3597.0,1922.0,739.0,6258.0
Bình Dương,2015,4046.0,2062.0,772.0,6880.0
Bình Dương,2016,4117.0,2249.0,835.0,7201.0
Bình Dương,2017,4521.0,2435.0,851.0,7807.0
Bình Dương,2018,4647.0,2546.0,856.0,8049.0
Bình Dương,2019,4897.0,2779.0,878.0,8554.0
Bình Dương,2020,5030.0,2971.0,907.0,8908.0
Bình Dương,2021,5312.0,3082.0,943.0,9337.0
Bình Dương,2023,5281.0,3287.0,1083.0,9651.0
Bình Phước,2002,3525.0,1511.0,416.0,5452.0
Bình Phước,2003,3572.0,1602.0,468.0,5642.0
Bình Phước,2004,3483.0,1662.0,545.0,5690.0
Bình Phước,2005,3330.0,1658.0,645.0,5633.0
Bình Phước,2006,3352.0,1681.0,669.0,5702.0
Bình Phước,2007,3394.0,1679.0,694.0,5767.0
Bình Phước,2008,3446.0,1646.0,700.0,5792.0
Bình Phước,2009,3469.0,1640.0,741.0,5850.0
Bình Phước,2010,3629.0,1651.0,743.0,6023.0
Bình Phước,2011,3608.0,1704.0,775.0,6087.0
Bình Phước,2012,3590.0,1576.0,800.0,5966.0
Bình Phước,2013,3772.0,1983.0,799.0,6554.0
Bình Phước,2014,3683.0,1881.0,815.0,6379.0
Bình Phước,2015,3653.0,1858.0,833.0,6344.0
Bình Phước,2016,3625.0,1866.0,840.0,6331.0
Bình Phước,2017,3574.0,1868.0,850.0,6292.0
Bình Phước,2018,3548.0,1906.0,868.0,6322.0
Bình Phước,2019,3546.0,1901.0,857.0,6304.0
Bình Phước,2020,3509.0,1921.0,861.0,6291.0
Bình Phước,2021,3532.0,1891.0,882.0,6305.0
Bình Phước,2023,3410.0,1884.0,881.0,6175.0
Bình Thuận,2002,4818.0,2115.0,647.0,7580.0
Bình Thuận,2003,4795.0,2343.0,730.0,7868.0
Bình Thuận,2004,4579.0,2488.0,790.0,7857.0
Bình Thuận,2005,4385.0,2575.0,918.0,7878.0
Bình Thuận,2006,4193.0,2568.0,964.0,7725.0
Bình Thuận,2007,4084.0,2475.0,975.0,7534.0
Bình Thuận,2008,4049.0,2464.0,1000.0,7513.0
Bình Thuận,2009,4288.0,2445.0,1019.0,7752.0
Bình Thuận,2010,4388.0,2381.0,1030.0,7799.0
Bình Thuận,2011,4132.0,2379.0,1018.0,7529.0
Bình Thuận,2012,4106.0,2369.0,1091.0,7566.0
Bình Thuận,2013,4138.0,2406.0,1068.0,7612.0
Bình Thuận,2014,4127.0,2446.0,979.0,7552.0
Bình Thuận,2015,4150.0,2445.0,949.0,7544.0
Bình Thuận,2016,4014.0,2266.0,938.0,7218.0
Bình Thuận,2017,4040.0,2304.0,935.0,7279.0
Bình Thuận,2018,4175.0,2300.0,939.0,7414.0
Bình Thuận,2019,4155.0,2280.0,908.0,7343.0
Bình Thuận,2020,4169.0,2305.0,940.0,7414.0
Bình Thuận,2021,4247.0,2268.0,951.0,7466.0
Bình Thuận,2023,4182.0,2305.0,970.0,7457.0
Bình Ðịnh,2002,5729.0,2928.0,953.0,9610.0
Bình Ðịnh,2003,5504.0,3136.0,1040.0,9680.0
Bình Ðịnh,2004,5289.0,3310.0,1151.0,9750.0
Bình Ðịnh,2005,4995.0,3278.0,1253.0,9526.0
Bình Ðịnh,2006,4836.0,3258.0,1349.0,9443.0
Bình Ðịnh,2007,4704.0,3108.0,1464.0,9276.0
Bình Ðịnh,2008,4601.0,3018.0,1571.0,9190.0
Bình Ðịnh,2009,4630.0,2905.0,1567.0,9102.0
Bình Ðịnh,2010,4628.0,2787.0,1561.0,8976.0
Bình Ðịnh,2011,4613.0,2712.0,1518.0,8843.0
Bình Ðịnh,2012,4555.0,2650.0,1516.0,8721.0
Bình Ðịnh,2013,4734.0,2624.0,1423.0,8781.0
Bình Ðịnh,2014,4532.0,2659.0,1351.0,8542.0
Bình Ðịnh,2015,4510.0,3216.0,1322.0,9048.0
Bình Ðịnh,2016,4454.0,2674.0,1341.0,8469.0
Bình Ðịnh,2017,4433.0,2691.0,1342.0,8466.0
Bình Ðịnh,2018,4347.0,2655.0,1321.0,8323.0
Bình Ðịnh,2019,4207.0,2667.0,1332.0,8206.0
Bình Ðịnh,2020,4279.0,2688.0,1322.0,8289.0
Bình Ðịnh,2021,4334.0,2601.0,1336.0,8271.0
Bình Ðịnh,2023,4240.0,2629.0,1389.0,8258.0
Bạc Liêu,2002,3506.0,1281.0,347.0,5134.0
Bạc Liêu,2003,3428.0,1325.0,406.0,5159.0
Bạc Liêu,2004,3315.0,1344.0,412.0,5017.0
Bạc Liêu,2005,3073.0,1287.0,448.0,4808.0
Bạc Liêu,2006,3048.0,1234.0,458.0,4740.0
Bạc Liêu,2007,2920.0,1257.0,452.0,4629.0
Bạc Liêu,2008,2886.0,1082.0,428.0,4396.0
Bạc Liêu,2009,2895.0,1039.0,401.0,4335.0
Bạc Liêu,2010,2911.0,1020.0,386.0,4317.0
Bạc Liêu,2011,2869.0,1045.0,389.0,4303.0
Bạc Liêu,2012,2781.0,1099.0,378.0,4258.0
Bạc Liêu,2013,2607.0,1156.0,356.0,4119.0
Bạc Liêu,2014,2559.0,1210.0,353.0,4122.0
Bạc Liêu,2015,2512.0,1218.0,370.0,4100.0
Bạc Liêu,2016,2450.0,1222.0,389.0,4061.0
Bạc Liêu,2017,2448.0,1221.0,403.0,4072.0
Bạc Liêu,2018,2450.0,1204.0,410.0,4064.0
Bạc Liêu,2019,2412.0,1186.0,421.0,4019.0
Bạc Liêu,2020,2336.0,1209.0,439.0,3984.0
Bạc Liêu,2021,2289.0,1184.0,439.0,3912.0
Bạc Liêu,2023,2152.0,1216.0,466.0,3834.0
Bắc Giang,2002,6023.0,4392.0,1093.0,11508.0
Bắc Giang,2003,5664.0,3766.0,1193.0,10623.0
Bắc Giang,2004,5356.0,3742.0,1293.0,10391.0
Bắc Giang,2005,5135.0,3556.0,1364.0,10055.0
Bắc Giang,2006,4979.0,3460.0,1478.0,9917.0
Bắc Giang,2007,4843.0,4165.0,1578.0,10586.0
Bắc Giang,2008,4816.0,3198.0,1383.0,9397.0
Bắc Giang,2009,5001.0,3259.0,1345.0,9605.0
Bắc Giang,2010,5102.0,3160.0,1239.0,9501.0
Bắc Giang,2011,5294.0,3138.0,1228.0,9660.0
Bắc Giang,2012,4950.0,3148.0,1229.0,9327.0
Bắc Giang,2013,4982.0,3125.0,1210.0,9317.0
Bắc Giang,2014,4970.0,3112.0,1204.0,9286.0
Bắc Giang,2015,5041.0,3095.0,1203.0,9339.0
Bắc Giang,2016,5115.0,3075.0,1213.0,9403.0
