Địa phương,Năm,Phổ thông cơ sở,Tiểu học,Trung học,Trung học cơ sở,Trung học phổ thông,Tổng số
Đồng bằng sông Hồng,2002,90.0,2647.0,15.0,2363.0,489.0,5604.0
Đồng bằng sông Hồng,2003,85.0,2662.0,11.0,2377.0,500.0,5635.0
Đồng bằng sông Hồng,2004,80.0,2667.0,14.0,2380.0,530.0,5671.0
Đồng bằng sông Hồng,2005,75.0,2684.0,27.0,2395.0,507.0,5688.0
Đồng bằng sông Hồng,2006,66.0,2694.0,11.0,2407.0,547.0,5725.0
Đồng bằng sông Hồng,2007,65.0,2705.0,10.0,2418.0,581.0,5779.0
Đồng bằng sông Hồng,2008,63.0,2705.0,11.0,2420.0,579.0,5778.0
Đồng bằng sông Hồng,2009,57.0,2715.0,18.0,2426.0,599.0,5815.0
Đồng bằng sông Hồng,2010,63.0,2719.0,44.0,2423.0,570.0,5819.0
Đồng bằng sông Hồng,2011,62.0,2730.0,37.0,2434.0,577.0,5840.0
Đồng bằng sông Hồng,2012,59.0,2737.0,50.0,2441.0,577.0,5864.0
Đồng bằng sông Hồng,2013,61.0,2762.0,37.0,2448.0,614.0,5922.0
Đồng bằng sông Hồng,2014,51.0,2756.0,42.0,2445.0,592.0,5886.0
Đồng bằng sông Hồng,2015,57.0,2752.0,42.0,2446.0,595.0,5892.0
Đồng bằng sông Hồng,2016,58.0,2758.0,47.0,2432.0,591.0,5886.0
Đồng bằng sông Hồng,2017,62.0,2770.0,44.0,2427.0,596.0,5899.0
Đồng bằng sông Hồng,2019,281.0,2464.0,64.0,2202.0,593.0,5604.0
Đồng bằng sông Hồng,2020,315.0,2430.0,69.0,2164.0,593.0,5571.0
Đồng bằng sông Hồng,2021,326.0,2431.0,74.0,2158.0,597.0,5586.0
An Giang,2002,,400.0,23.0,112.0,33.0,568.0
An Giang,2003,,399.0,13.0,130.0,43.0,585.0
An Giang,2004,,400.0,1.0,138.0,56.0,595.0
An Giang,2005,,400.0,1.0,142.0,55.0,598.0
An Giang,2006,,395.0,,147.0,53.0,595.0
An Giang,2007,,392.0,1.0,149.0,52.0,594.0
An Giang,2008,,395.0,1.0,152.0,48.0,596.0
An Giang,2009,,393.0,,154.0,47.0,594.0
An Giang,2010,,396.0,3.0,155.0,47.0,601.0
An Giang,2011,,390.0,6.0,155.0,44.0,595.0
An Giang,2012,,392.0,13.0,154.0,44.0,603.0
