Năm,Chỉ số phát triển (%) - Giáo viên,Chỉ số phát triển (%) - Học sinh,Chỉ số phát triển (%) - Lớp học,Chỉ số phát triển (%) - Số học sinh bình quân một giáo viên,Chỉ số phát triển (%) - Số học sinh bình quân một lớp học,Chỉ số phát triển (%) - Trường học,Tổng số - Giáo viênviên,Tổng số - Học sinh,Tổng số - Lớp học,Tổng số - Số học sinh bình quân một giáo viên,Tổng số - Số học sinh bình quân một lớp học,Tổng số - Trường học
1995-1996,108.2,104.9,105.5,96.8,99.5,..,75.0,1931.6,66.9,25.7,28.9,..
1996-1997,112.5,108.3,110.7,96.3,108.3,..,84.4,2092.7,74.1,24.8,28.2,..
1997-1998,110.1,107.9,107.8,98.0,107.9,..,92.9,2257.7,79.8,24.3,28.3,..
1998-1999,101.2,99.6,103.5,98.4,99.6,..,93.7,2248.2,82.6,24.0,27.2,..
1999-2000,104.4,97.8,101.9,93.7,96.0,..,98.1,2199.5,84.5,22.5,26.1,..
2000-2001,105.6,100.6,103.4,95.2,97.2,103.4,103.3,2212.0,87.1,21.4,25.4,8933.0
2001-2002,100.5,98.2,100.2,97.7,98.0,103.7,103.8,2171.8,87.3,20.9,24.9,9262.0
2002-2003,99.9,98.7,100.1,99.0,98.4,103.2,103.7,2143.9,87.4,20.7,24.5,9558.0
2003-2004,102.8,101.4,101.4,98.5,99.6,104.4,106.7,2172.9,88.7,20.4,24.4,9975.0
2004-2005,105.7,107.2,104.8,101.4,102.3,104.0,112.8,2329.8,93.0,20.6,25.0,10376.0
2005-2006,103.9,104.2,101.0,100.5,103.2,105.3,117.2,2426.9,93.9,21.0,26.0,10927.0
2006-2007,104.9,104.0,103.8,99.0,100.4,106.0,122.9,2524.3,97.5,20.5,25.9,11582.0
2007-2008,106.1,102.7,102.3,97.1,100.4,101.0,130.4,2593.3,99.7,19.9,26.0,11696.0
2008-2009,105.9,107.0,104.2,101.0,102.7,103.2,138.1,2774.0,103.9,20.1,26.7,12071.0
2009-2010,104.7,104.9,102.6,100.0,102.2,101.6,144.5,2909.0,106.6,20.0,27.0,12265.0
2010-2011,109.0,105.2,112.0,96.7,93.9,103.4,157.5,3061.3,119.4,19.0,26.0,12678.0
2011-2012,110.5,108.5,98.8,98.2,109.8,103.7,174.0,3320.3,118.0,19.0,28.0,13144.0
2012-2013,108.1,107.0,103.4,97.3,103.4,103.1,188.2,3551.1,122.0,19.0,29.0,13548.0
2013-2014,108.9,101.8,102.9,93.4,98.9,102.2,204.9,3614.1,125.5,18.0,29.0,13841.0
2014-2015,105.2,103.9,106.4,98.8,97.7,102.4,215.5,3755.0,133.5,17.0,28.0,14179.0
2015-2016,107.6,106.0,110.3,98.5,96.1,102.4,231.9,3978.5,147.2,17.2,27.0,14513.0
2016-2017,108.1,110.8,101.7,102.5,109.0,102.4,250.8,4409.6,149.7,17.6,29.5,14863.0
2017-2018,106.2,104.3,104.1,98.2,100.2,102.5,266.3,4599.8,155.8,17.3,29.5,15241.0
2018-2019,98.4,96.0,96.9,97.5,99.0,101.5,262.1,4415.2,151.0,16.8,29.2,15463.0
2019-2020,102.4,97.7,100.7,95.5,97.1,97.2,268.3,4314.7,152.0,16.1,28.4,15033.0
2020-2021,104.9,100.3,103.7,95.6,96.7,103.0,281.4,4327.7,157.6,15.4,27.5,15485.0
2021-2022,99.2,90.0,98.7,90.7,91.2,99.6,279.2,3895.3,155.6,14.0,25.0,15422.0
