CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
AAA,2024,4,0.4305353605637385,3844069138022,76186464918,-0.1875431312991508,91249831608.0,-49789576625.0,3844069138022.0,-1549525461.0,3842519612561.0,-3393914630919.0,448604981642.0,-68898239666.0,3971654058.0,-229528379756.0,-46666193570,198733654316.0,3807565493.0,0.0,-104225861458.0,-100418295965.0,98315358351,-37525854225,2885963798.0,63675467924,-12510996994.0,76186464918,,,,,,,,,,,,,,,,,,
AAA,2024,3,-0.09532640680006627,3194720984754,21799597923,-0.779912672349868,33516838128.0,-33905226424.0,3194720984754.0,-1321449422.0,3193399535332.0,-2848063506913.0,345336028419.0,-38092712972.0,7564464721.0,-191007387234.0,-183779758052,-26462526990.0,874508486.0,0.0,-2327212524.0,-1452704038.0,-27915231028,1870420871,342912354.0,-25701897803,-47501495726.0,21799597923,,,,,,,,,,,,,,,,,,
AAA,2024,2,-0.0029414050886950004,2784044828229,135887872408,2.2143704446370864,98092361110.0,-40781649677.0,2784044828229.0,-1564742697.0,2782480085532.0,-2424146450534.0,358333634998.0,-53929325111.0,21455880482.0,-173233226618.0,-76353933733,174365391128.0,4414811284.0,0.0,-1545380136.0,2869431148.0,177234822276,-33386351113,-5934364992.0,137914106171,2026233763.0,135887872408,,,,,,,,,,,,,,,,,,
AAA,2024,1,-0.18042878505572832,2964878299224,134706559842,1.4994036419603567,47863280080.0,-35048921226.0,2964878299224.0,-1046971601.0,2963831327623.0,-2632000466517.0,331830861106.0,-39801387126.0,23727758055.0,-123010462870.0,-73583410041,167026639204.0,1119155732.0,0.0,-214707375.0,904448357.0,167931087561,-26560017429,2523094307.0,143894164439,9187604597.0,134706559842,,,,,,,,,,,,,,,,,,
AAA,2023,4,-0.21332674928410458,2687154224910,93772934728,1.9595447545341231,67921370313.0,-48476740408.0,2687154224910.0,-2575473135.0,2684578751775.0,-2375451450167.0,309127301608.0,-67250781564.0,22819564892.0,-135967900119.0,-89321724866,107327830264.0,4372115464.0,0.0,-3672034674.0,700080790.0,108027911054,-24597831305,8752453615.0,92182533364,-1590401364.0,93772934728,,,,,,,,,,,,,,,,,,
AAA,2023,3,0.07290048021427414,3531352090707,99049764272,0.240196716306346,63082764650.0,-46635327606.0,3531352090707.0,-2273196017.0,3529078894690.0,-3209329498857.0,319749395833.0,-52837104055.0,11922389158.0,-146527042033.0,-71930869436,123459534117.0,6662250470.0,0.0,-3063556223.0,3598694247.0,127058228364,-24538430487,1027660219.0,103547458096,4497693824.0,99049764272,,,,,,,,,,,,,,,,,,
AAA,2023,2,-0.3901680576180326,2792257990090,42275112576,-0.5051206854471922,61416035204.0,-46607049754.0,2792257990090.0,-944663741.0,2791313326349.0,-2556304153355.0,235009172994.0,-59379004371.0,3570401793.0,-118984474113.0,-59741058059,61891073448.0,4640556916.0,0.0,-2514955640.0,2125601276.0,64016674724,-15813694251,1666526245.0,49869506718,7594394142.0,42275112576,,,,,,,,,,,,,,,,,,
AAA,2023,1,-0.1018549581975626,3617596915511,53895480338,-0.38814960790508607,47003239324.0,-45134977429.0,3617596915511.0,-883996058.0,3616712919453.0,-3370542435514.0,246170483939.0,-56006994655.0,14564670455.0,-109390083352.0,-66043720520,76297595191.0,3180093849.0,0.0,-233757804.0,2946336045.0,79243931236,-13692553202,-1754298152.0,63797079882,9901599544.0,53895480338,,,,,,,,,,,,,,,,,,
AAA,2022,4,-0.18706060188400506,3415845425613,-97726483611,-2.6148448036339884,76956511432.0,-57560677981.0,3415845425613.0,-9286091326.0,3406559334287.0,-3372303457270.0,34255877017.0,-85428295752.0,16543417620.0,-129385434583.0,-74282129130,-161340053396.0,2648735254.0,0.0,-1248408201.0,1400327053.0,-159939726343,5919794061,1265826574.0,-152754105708,-55027622097.0,-97726483611,,,,,,,,,,,,,,,,,,
AAA,2022,3,0.0,3291406943915,79866172011,0.0,43749317209.0,-40362653734.0,3291406943915.0,-11072289994.0,3280334653921.0,-2972146306598.0,308188347323.0,-61887618795.0,16495471816.0,-140819634222.0,-58132125521,107593757810.0,1517118689.0,0.0,-4231390245.0,-2714271556.0,104879486254,-28624194066,362140033.0,76617432221,-3248739790.0,79866172011,,,,,,,,,,,,,,,,,,
