CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư vào công ty liên doanh,Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định hữu hình,Tài sản cố định vô hình,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Đầu tư vào công ty con,Tài sản cố định thuê tài chính,Chênh lệch đánh giá lại tài sản,Cổ đông thiểu số,Lợi thế thương mại,Vốn Ngân sách nhà nước và quỹ khác,_Các quỹ khác
AAA,2024,4,6426369244563.0,2419517905105,718639358712.0,1801012289922.0,1286443372106.0,200756318718.0,7341846339892.0,358500000000.0,3037270806863,1303970692613.0,254217998561.0,1136863151319.0,13768215584455,7531941631255,4132594319010.0,3399347312245.0,6236273953200,6236273953200.0,18751291534.0,539311728597,902455310817.0,13768215584455,548902941301.0,1500000000.0,1288143128446.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1339620732954.0,135152896271.0,2554855324899.0,156430635657.0,966201588541.0,30376592621.0,26148137968.0,384648137968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,3,6956714508528.0,1945532019980,1346697394178.0,2303218872955.0,1138806271275.0,222459950140.0,6075525235098.0,358500000000.0,2717470957150,1324944634827.0,273912623253.0,955164387362.0,13032239743626,6955710255283,4136418106173.0,2819292149110.0,6076529488343,6076529488343.0,18751291534.0,269844663327,1022402946905.0,13032239743626,740033832744.0,290325328767.0,1139066069693.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,779984342981.0,151267936143.0,2801596271811.0,43205589496.0,897925186661.0,49976592621.0,19413131805.0,377913131805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,2,6152632538191.0,2188093990715,1318382250000.0,1585450329064.0,890797021045.0,169908947367.0,6115223219397.0,343300250000.0,1916572415553,1340350302192.0,1343884550537.0,881415303958.0,12267855757588,6105593398756,3607913079905.0,2497680318851.0,6162262358832,6162262358832.0,18751291534.0,782172256083,585026551130.0,12267855757588,655264859253.0,106738000000.0,891770591173.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,547451539393.0,154634275729.0,2510129835339.0,44736658042.0,823302978572.0,0.0,10409193733.0,353709443733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,1,5504717598034.0,2017366509375,197451050000.0,2530441102546.0,604260563714.0,155198372399.0,6181900412655.0,398934150000.0,1964597358066,1358591960902.0,1353097235679.0,879836245565.0,11686618010689,5623021220528,3411149443389.0,2211871777139.0,6063596790161,6063596790161.0,18751291534.0,693519845467,586511698011.0,11686618010689,698841814064.0,759308754048.0,605617802847.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,329579423872.0,115433010516.0,2382591097052.0,46267726588.0,816694523674.0,0.0,6590980260.0,405525130260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,4,5688336332807.0,2435058282465,1079609986000.0,1232500178273.0,760810693155.0,180357192914.0,5846639913087.0,77154150000.0,1946902023233,1317371277837.0,1328045371157.0,873382788410.0,11534976245894,5614689992713,3746883819114.0,1867806173599.0,5920286253181,5920286253181.0,18751291534.0,565860941388,571368089756.0,11534976245894,343902777299.0,63067844806.0,762527847268.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,358670895783.0,144718492819.0,2625493361173.0,57203184735.0,801064621258.0,0.0,5143119278.0,84392803593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,3,5858655780805.0,1689712971535,1391367436000.0,1922463914793.0,690502336003.0,164609122474.0,5751606062962.0,143345750000.0,1998478887675,468794498332.0,1317954806265.0,827567134188.0,11610261843767,5162454215090,3206291903677.0,1956162311413.0,6447807628677,6447807628677.0,18751291534.0,893732261191,772208164353.0,11610261843767,317819969095.0,296549690310.0,704118740818.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1099098717329.0,118527164622.0,2055450182038.0,58981737219.0,762222868167.0,0.0,9859920408.0,153205670408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,2,6040107176096.0,1367496215370,1506625000000.0,1379548589695.0,1559082860922.0,227354510109.0,5189927737183.0,111910000000.0,2062651076560,477372811811.0,1306032417107.0,900076803830.0,11230034913279,4885759889773,3596439506682.0,1289320383091.0,6344275023506,6344275023506.0,18751291534.0,797055737811,770159411296.0,11230034913279,329637197645.0,59897289636.0,1582848352787.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1143790699303.0,266498373972.0,2103986867520.0,60714229541.0,834027705706.0,0.0,7987139470.0,119897139470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,1,5674658316737.0,1827056484454,697156000000.0,1848856141722.0,1135368241370.0,166221449191.0,5227312943630.0,51940160000.0,2018003467301,487328076836.0,1582738207943.0,301051591601.0,10901971260367,4670840550735,3265392932493.0,1405447618242.0,6231130709632,6231130709632.0,44744930000.0,773594528190,660472823778.0,10901971260367,283889830619.0,385493358986.0,1154741772552.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1228962193450.0,145738903079.0,2166459218015.0,31449319555.0,265933929708.0,0.0,15734185186.0,137514792584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2022,4,5623485000285.0,1655456757815,436156000000.0,1551890327952.0,1776319126153.0,203662788365.0,5157831431634.0,940160000.0,2077458744071,497283341861.0,1494090455165.0,308638603479.0,10781316431919,4613713019899,3195249080486.0,1418463939413.0,6167603412020,6167603412020.0,44744930000.0,717576194474,651740713232.0,10781316431919,256752902117.0,176995600000.0,1846699548793.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1242368724012.0,147950965344.0,1887821444978.0,32469590996.0,270203822136.0,0.0,15735626640.0,86913682992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2022,3,6138746931264.0,1353251366894,436156000000.0,1953273833748.0,2158635136318.0,237430594304.0,5139248523054.0,20000000000.0,1932240625546,499800506889.0,1399487037545.0,298391234547.0,11277995454318,4882951646543,3326090788653.0,1556860857890.0,6395043807775,6395043807775.0,44744930000.0,817221849987,781210013532.0,11277995454318,330166643975.0,438869500000.0,2158635136318.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1385773140280.0,137717980454.0,2021311451391.0,33489862437.0,260202008337.0,17432479452.0,15933076028.0,107195713558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2022,2,5808222903667.0,1020615568519,461156000000.0,2213600227647.0,1910442387300.0,202408720201.0,5119501983546.0,0.0,1993981354776,509061137434.0,1328019487262.0,307920744143.0,10927724887213,5337317566503,3996286768740.0,1341030797763.0,5590407320710,5590407320710.0,44744930000.0,756325262940,718777866614.0,10927724887213,294306624209.0,279288799999.0,1925460191272.0,0.0,80481616464.0,3264344960000.0,3264344960000,0.0,1159642207370.0,139711640962.0,2390694768419.0,34510133879.0,269073386524.0,123752479452.0,15926573228.0,85387374158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2022,1,5562193645295.0,1549911273413,461156000000.0,2348160848783.0,1042196865390.0,160768657709.0,4914883371635.0,13390050000.0,2056372616664,518130196694.0,943436624332.0,295194174127.0,10477077016930,5103178395965,3838441760839.0,1264736635126.0,5373898620965,5373898620965.0,44744930000.0,712807348143,558394575559.0,10477077016930,663295939185.0,246463950000.0,1042196865390.0,0.0,80481616464.0,3264344960000.0,3264344960000,0.0,1164711621851.0,193173188077.0,2408188617527.0,35530405320.0,257137750184.0,17432479452.0,16438208698.0,232828224110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2021,4,5336715803039.0,1987170712682,436156000000.0,1810385030365.0,965573567309.0,137430492683.0,4654916125530.0,44699588400.0,2100839611952,526347470213.0,569909270071.0,325676975271.0,9991631928569,4533249592064,3260484568906.0,1272765023158.0,5458382336505,5458382336505.0,26544930000.0,723894567551,646409327235.0,9991631928569,372650796035.0,84906400000.0,965573567309.0,0.0,80481616464.0,3264344960000.0,3264344960000,0.0,1175997845832.0,147812623494.0,2172872598928.0,36550676761.0,287014288216.0,17995000000.0,16438046128.0,278966433205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2021,3,5461324349888.0,1439605995924,11156000000.0,2804651300757.0,1024271430739.0,181639622468.0,4495790870966.0,97001119400.0,2167859389674,423764703921.0,487167006719.0,295536442376.0,9957115220854,4659393268030,3801512394659.0,857880873371.0,5297721952824,5297721952824.0,26544930000.0,642001836089,564346517617.0,9957115220854,890965927240.0,633444990000.0,1024271430739.0,0.0,80481616464.0,3264344960000.0,3264344960000,0.0,766558966756.0,221778116269.0,2445966609318.0,37570948202.0,257445687452.0,16747330798.0,17126470178.0,193680938752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2021,2,5467617108516.0,2214209755238,11156000000.0,1918577752695.0,1131960274006.0,191713326577.0,4174692972811.0,94014542000.0,2234226484099,431815404971.0,478552084639.0,314088690352.0,9642310081327,4426884790877,3710035034429.0,716849756448.0,5215425290450,5215425290450.0,26544930000.0,666244197560,454318963753.0,9642310081327,702975473222.0,151570190000.0,1131960274006.0,0.0,80481616464.0,2967599740000.0,2967599740000,0.0,614304967906.0,139624271691.0,2790701013738.0,38591219644.0,275406853401.0,16747330798.0,17129077248.0,181186557642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2021,1,5279713527496.0,967769374300,176256000000.0,2784501446413.0,1166690129425.0,184496577358.0,3899671614948.0,1400000000.0,2267854058668,439985635641.0,491199417821.0,272243603308.0,9179385142444,5051729751083,4114416685869.0,937313065214.0,4127655391361,4127655391361.0,26544930000.0,624461925263,474808399771.0,9179385142444,697254117869.0,947837432790.0,1166690129425.0,0.0,80481616464.0,2217599740000.0,2217599740000,0.0,823370791373.0,132191581438.0,3141542877800.0,14792187644.0,257354754437.0,17353094158.0,17129667528.0,60663433603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2020,4,4451050828524.0,963717122052,713600000000.0,1669170204812.0,946809379604.0,157754122056.0,4118563089369.0,114055000000.0,2325026613214,447748684374.0,533377809163.0,277269221328.0,8569613917893,4545451942407,3772834861366.0,772617081041.0,4024161975486,4024161975486.0,26544930000.0,568916257156,426375132551.0,8569613917893,790942957319.0,42643890561.0,947201357809.0,0.0,80481616464.0,2217599740000.0,2217599740000,0.0,617146847843.0,106523885106.0,2943359269628.0,15191976499.0,261846885299.0,17353094158.0,17129962668.0,173910564469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2020,3,4205633058730.0,238982685166,720904657534.0,2218744590601.0,828614538583.0,198386586846.0,4000543436017.0,138250000000.0,2383104968821,406687571620.0,417733256928.0,302699699131.0,8206176494747,4239353049643,2795587293037.0,1443765756606.0,3966823445104,3966823445104.0,0.0,643354324705,426501391236.0,8206176494747,638543291761.0,728622625208.0,828614538583.0,0.0,80481616464.0,2111999760000.0,2111999760000,0.0,1297214944627.0,60862829148.0,2170404392079.0,15904880326.0,286794423615.0,265945943589.0,17614940288.0,155864940288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
