CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,"Chi trả cho việc mua lại, trả cổ phiếu",Thu lãi và cổ tức,_Tăng/Giảm các khoản phải thu,_Tăng/Giảm các khoản phải trả,Cố tức đã nhận
AAA,2024,4,98315358351.0,140838609929.0,2503038058.0,-8992148908.0,0.0,69567332283.0,51829594558.0,354061784271.0,279527719101.0,-212325613367.0,134088136550.0,-5499392672.0,-60145148046.0,-3972261559.0,0.0,-7607651930.0,478127572348.0,-487078434130.0,13108357881.0,259290666767.0,768068979249.0,-829315535422.0,980000000.0,50648668782.0,-224297296873.0,0.0,2189378260309.0,-1980667866373.0,-3502410204.0,0.0,205207983732.0,459038259207.0,1945532019980.0,14947625918.0,2419517905105.0,,,,,,,,
AAA,2024,3,-27915231028.0,81806145599.0,143380938.0,21643938611.0,0.0,-28790374292.0,36376915834.0,83264775662.0,-269764845303.0,69125306894.0,147006907967.0,1283122153.0,-28728048279.0,-668101215.0,0.0,-5738740706.0,-4219622827.0,-156864177958.0,1652861954.0,-330701217945.0,199336846825.0,-81900830076.0,187500000.0,4133604945.0,-364155412255.0,0.0,1841320124377.0,-1676212552889.0,0.0,0.0,165107571488.0,-203267463594.0,2188093990715.0,-39294507141.0,1945532019980.0,,,,,,,,
AAA,2024,2,177234822276.0,86460873829.0,3923958950.0,-19436035413.0,0.0,-44363994548.0,42434224106.0,246253849200.0,357594984555.0,-286190999663.0,68501270137.0,7943781367.0,-49111042138.0,-18131873861.0,0.0,-19141807949.0,307718161648.0,-161897844756.0,19809066533.0,-1046805091028.0,638068374880.0,0.0,0.0,34259512218.0,-516565982153.0,0.0,1711495211246.0,-1374335447935.0,0.0,0.0,337159763311.0,128311942806.0,2017366509375.0,42415538534.0,2188093990715.0,,,,,,,,
AAA,2024,1,167931087561.0,91337486865.0,-352690563.0,0.0,0.0,-60920062337.0,37415239242.0,235411060768.0,-465715173002.0,177706047827.0,308281803900.0,-27804390855.0,-36779880432.0,-10445397963.0,0.0,-3366327198.0,177287743045.0,-232275863255.0,528233500.0,-1199063158972.0,1063010085730.0,-33120000000.0,10000000000.0,80723292089.0,-310197410908.0,0.0,1211587610415.0,-1485454686996.0,0.0,-10532850000.0,-284399926581.0,-417309594444.0,2435058282483.0,-382178664.0,2017366509375.0,,,,,,,,
AAA,2023,4,109937088896.0,88896769206.0,2798290586.0,-8615650660.0,0.0,-86334887927.0,62673329448.0,169354939549.0,597907657686.0,-58402706875.0,567212443017.0,-32749012751.0,-108293191308.0,-55968239888.0,0.0,-5009574698.0,1074052314732.0,-181665649920.0,64117964.0,-184320315484.0,722225720000.0,-603975000000.0,0.0,49726386229.0,-197944741211.0,0.0,1522961842298.0,-1650773058457.0,0.0,-23343500.0,-127834559659.0,748273013862.0,1689712971535.0,-2927702932.0,2435058282465.0,,,,,,,,
AAA,2023,3,127058228364.0,82899563127.0,-10149087050.0,-7776511050.0,0.0,-51721638458.0,48683673846.0,188994228779.0,-242725869026.0,705005970756.0,297014231771.0,3669156161.0,-36145502874.0,-695575853.0,0.0,-3172197230.0,911944442484.0,-375926041639.0,1155130364.0,-512427464868.0,359734310000.0,-4748600000.0,0.0,23132599559.0,-509080066584.0,0.0,1796927814677.0,-1882099216396.0,0.0,0.0,-85171401719.0,317692974181.0,1367496215370.0,4523781984.0,1689712971535.0,,,,,,,,
AAA,2023,2,64016674724.0,79903010743.0,4527105530.0,7776511050.0,0.0,-53320370968.0,48655395994.0,151558327073.0,399399558618.0,-393922719770.0,15871558160.0,138280404.0,-61947385261.0,-383262390.0,0.0,-5967343607.0,104747013227.0,-5244518525.0,5669990545.0,-632254310650.0,291517800000.0,-46945861403.0,0.0,42351595276.0,-344905304757.0,0.0,1520426312223.0,-1747016703620.0,0.0,-104000000.0,-226694391397.0,-466852682927.0,1827056484454.0,7292413843.0,1367496215370.0,,,,,,,,
AAA,2023,1,79243931236.0,78929940763.0,-51606850211.0,0.0,0.0,-44901416718.0,47183323669.0,108848928739.0,-242087350041.0,705838019395.0,-36367958626.0,-9800532569.0,-39504358359.0,-2964523858.0,0.0,-14860374203.0,469101850478.0,-14647760621.0,2172727273.0,-1073505058986.0,565507300000.0,-74200000000.0,0.0,48327932760.0,-546344859574.0,0.0,1562749667361.0,-1300227194324.0,0.0,0.0,262522473037.0,185279463941.0,1642978052440.0,-1201031927.0,1827056484454.0,,,,,,,,
AAA,2022,4,-159939726343.0,78720592438.0,72903141735.0,-4669068884.0,0.0,-62383783157.0,61111899455.0,-14256944756.0,167848220205.0,314319448458.0,99224101800.0,-2565528178.0,-63741091449.0,-55084318179.0,0.0,-16900655418.0,428843232483.0,-15139349352.0,280000000.0,-78365030000.0,359298770000.0,-78060000000.0,-77000000000.0,27047197404.0,138061588052.0,0.0,1680590002871.0,-1947195375732.0,0.0,0.0,-266605372861.0,300299447674.0,1353251366894.0,1905943247.0,1655456757815.0,,,,,,,,
AAA,2022,3,104879486254.0,77044825156.0,-15017803972.0,-2402271095.0,0.0,-24341529139.0,41938040098.0,182100747302.0,383839543987.0,-231234709781.0,-365320565207.0,14730217293.0,-30350467860.0,-1798257475.0,0.0,-8552348825.0,-56585840566.0,-6390393418.0,461976155.0,-194394250000.0,39813550000.0,-91470298950.0,77000000000.0,14161103970.0,-160818312243.0,669755200000.0,1955219078912.0,-2082615105317.0,0.0,0.0,542359173595.0,324955020786.0,1020615568519.0,7680777589.0,1353251366894.0,,,,,,,,
