CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
AAA,2024,4,0.8392987271,1.2077631111,0.4870329349955023,1.6313601923367653,1.0083939285,5.0620170634,27.02042139472799,33.4617313141,22.4669097125,82.949062421328,10.9079831098,0.04486910301053486,0.1167476101294404,0.01982721562928406,0.0690355966,0.0381948774,0.0290774244,787385870513.0,172410408316.0,0.0,1.5550447851,0.5854719138,1.2437528283,-3.462781168326514,2.2077631110785565,2641516767360.0,382274496.0,7.166729488,0.4952393294,0.2066553842,2.7546966349,199.29779704163158,13952.849845319,6.7310940005
AAA,2024,3,0.7177723676,1.144684687,0.4472077297350569,1.5895722973742408,0.9582757532,5.4411007164,28.584014184697722,30.1719200179,20.1681911836,78.92412538619772,12.0973408316,-0.009222496759691591,0.10814056449817118,0.006826454905440956,0.0719877681,0.0308932099,0.0318345851,646871298097.0,-29451116867.0,0.0,1.6818209209,0.4703422067,1.4065087445,0.8686305910097939,2.1446846869790708,3146119102080.0,382274496.0,8.1470436056,0.6224852259,0.2706504383,2.0234377439,57.026032735911315,13221.1973184787,8.9733006564
AAA,2024,2,0.5850177588000001,0.9908038709,0.31101765941628434,1.6119993416542233,1.0157148388,6.1125108834,27.64654725379728,25.4177263037,18.3175784746,71.38185203209729,14.3600570578,0.039082570693837713,0.1287821022911249,0.048836961354934094,0.0839567952,0.0465422882,0.0393562604,778707316856.0,108746474647.0,0.0,1.7053161764,0.6064708163,1.4584152668,-2.6665540876422846,1.9908038709201046,3608671242240.0,382274496.0,7.78709072,0.6470358017,0.3017291453,1.4604076709,355.4719810761323,14589.6099950701,6.5020387863
AAA,2024,1,0.5016411959,0.9273408861,0.32399868033010093,1.5861892052984357,1.039366994,6.0049460632,28.387159845781287,30.9594717067,19.4772624309,78.82389398338128,11.7896068595,0.04562911085208766,0.11196010313182335,0.04545014373339356,0.0670065392,0.0429193,0.0321136943,719686619945.0,135236988195.0,0.0,1.613742725,0.5914037315,1.4365999249,-3.8585207037607328,1.927340886130837,4625521401600.0,382274496.0,12.5080225089,0.8445224647,0.3864648513,2.0394431797,352.3817603620619,14327.6236041392,8.2075127527
AAA,2023,4,0.5605766528,0.942269647,0.32885268380171984,1.5487002965484258,1.1279643641,6.1712685094,25.412396005930024,41.9197261786,20.1703925917,87.50251477623002,8.7071179436,0.03122936012496109,0.11514927673610247,0.034930223099619954,0.0532785606,0.034907005,0.025864154,643326368221.0,83837676623.0,0.1388888889,1.5203418863,0.6516006007,1.3111709968,-1.7294412932344039,1.9483815059949505,4128564556800.0,382274496.0,14.2654252776,0.7725368035,0.3271053306,1.5786706885,245.30261816890865,13979.916492224,9.8948355973
AAA,2023,3,0.6597044859000001,0.8006526423,0.3099470397948364,1.6866957372633617,1.198795168,6.5437448324,30.298634151321398,38.5792106969,18.7596606163,87.6375054645214,9.461054112,0.028701960876082257,0.09060420732279699,0.028066746940975003,0.0174593204,0.0061339233,0.0087588522,379353225628.0,101291484364.0,0.1578947368,1.8272371814,0.5269991075,1.6118786436,-2.1719904107839496,1.8006526423229012,3631607712000.0,382274496.0,37.249599168,0.639863284,0.2721596994,1.8967608936,259.1063890173829,14846.9215804656,15.47015132
AAA,2023,2,0.6922096299,0.770105311,0.3251200600411754,1.6596124224583373,1.1852934747,6.4743374018,30.267412591406014,50.140740739,20.5458300488,100.95398337920601,7.279509529,0.020163856307603503,0.08419304661200067,0.015145240835895437,0.0140627869,0.0069688131,0.0070882956,381443590873.0,56283640822.0,0.1604278075,1.6794685869,0.3802361232,1.2459612644,-1.207620759500434,1.7701053109568712,3574266537600.0,382274496.0,45.7164453132,0.6412257632,0.2729506155,3.7840017143,110.58836783084791,14581.4478091942,16.3188147587
AAA,2023,1,0.7421419676,0.749597588,0.3238583110095246,1.630014760292039,1.3560085099,7.419123835,30.66310197275858,46.3612718399,20.0388069677,97.06318078035858,7.8729505364,0.01955827892408402,0.0680647011309461,0.014901785554533666,0.0225218533,0.0119922809,0.0110697662,427606433421.0,70736680067.0,0.1333333333,1.7378179086,0.5595211732,1.3901206284,-1.5672253337951259,1.7495975880452765,4300588080000.0,382274496.0,34.157451534,0.772007215,0.2890477932,7.8117036569,140.98633547868178,14572.4026691386,15.2697090606
AAA,2022,4,0.708544404,0.7493936661,0.3368340350843984,1.6133965191389592,1.4698421537,7.3189604883,28.942635516169663,36.7267125105,17.5479925959,83.21734062256967,9.9382704046,-0.04973102478822909,0.01005585802431644,-0.02868773857169711,0.0262523677,0.0185494147,0.014669233,483535643419.0,-169411686696.0,0.1086956522,1.7647871237,0.5123926305,1.2065145294,2.9431843515102534,1.7480560457093215,3516925363200.0,382274496.0,21.3915905998,0.6371371672,0.2300102703,33.6200149888,-255.64479093839418,14439.5908352071,13.136505422
AAA,2022,3,0.7494644097000001,0.7635524937,0.30214658157568997,1.6728931369188176,1.5073865881,7.9578630443,32.26700699701471,37.9304146706,19.4697752266,89.66719689421473,9.6228845155,0.033300440078401446,0.09395027637031514,0.024346958599341557,0.055026482,0.0416592688,0.0294222921,721645643183.0,109236587580.0,0.1404494382,1.8456342058,0.4068594193,1.19663354,-2.7063777396772886,1.7635524936680465,2721794411520.0,382274496.0,7.7246025644,0.4848370136,0.1692477644,15.3740466077,208.9236212373425,14685.3474479318,7.7002303032
