short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
VCBF-FIF,QUỸ ĐẦU TƯ TRÁI PHIẾU VCBF,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,0.5,2019-08-08,14726.98,0.33,1.81,47.27,0.2,1.67,3.86,6.42,16.47,26.54,8.16,2025-04-22,33,VCBFFIF,VCBFFIFN001
PVBF,QUỸ ĐẦU TƯ TRÁI PHIẾU PVCOM,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,0.5,2020-02-06,14707.89,0.41,0.57,47.08,0.8,2.32,3.75,7.43,16.69,25.98,8.0,2025-04-22,45,PVBF,PVBFN001
VNDBF,QUỸ ĐẦU TƯ TRÁI PHIẾU VND,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,1.1,2019-07-04,14820.98,0.02,1.91,48.21,0.47,1.63,3.45,7.05,16.63,24.83,7.67,2025-04-22,37,VNDBF,VNDBFN001
MAFF,QUỸ ĐẦU TƯ TRÁI PHIẾU LINH HOẠT MIRAE ASSET VIỆT NAM,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MIREA ASSET VIỆT NAM,0.8,2021-12-16,12714.53,0.21,1.64,27.15,0.25,1.56,3.71,6.69,16.79,24.03,7.44,2025-04-22,50,MAFF,MAFFN001
VFF,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢO THỊNH VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.95,2013-03-31,24300.48,0.09,1.95,82.93,0.59,1.59,3.52,6.78,14.85,23.94,7.42,2025-04-22,21,VFF,VFFN003
MBBOND,QUỸ ĐẦU TƯ TRÁI PHIẾU MB,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.2,2018-03-25,15554.0,0.02,2.26,38.71,0.68,1.87,3.78,7.87,18.82,22.1,6.88,2025-04-22,48,MBBOND,MBBONDN001
ABBF,QUỸ ĐẦU TƯ TRÁI PHIẾU AN BÌNH,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN AN BÌNH,1.45,2020-11-02,13349.89,0.05,1.81,33.5,0.48,1.5,2.92,5.87,12.94,21.75,6.78,2025-04-22,65,ABBF,ABBFN001
DCBF,QUỸ ĐẦU TƯ TRÁI PHIẾU DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2013-06-09,27644.62,0.06,1.94,100.0,0.52,1.71,3.4,6.83,16.44,21.61,6.74,2025-04-22,27,VFMVFB,VFMVFBN001
SSIBF,QUỸ ĐẦU TƯ TRÁI PHIẾU SSI,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.0,2017-08-29,15941.42,0.02,1.57,59.41,0.43,1.29,2.78,5.82,16.14,20.84,6.51,2025-04-22,8,SSIBF,SSIBFN001
BVBF,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢO VIỆT ,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,0.5,2016-05-19,20936.0,0.03,1.14,35.6,1.16,1.61,2.48,5.6,14.94,20.31,6.36,2025-04-22,13,BVBF,BVBFN001
MBVF,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.5,2014-04-24,21723.0,-0.59,-2.3,52.05,-6.32,-1.34,-1.55,10.75,29.91,19.34,6.07,2025-04-22,47,MBVF,MBVFN001
ASBF,QUỸ ĐẦU TƯ TRÁI PHIẾU AN TOÀN AMBER,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ AMBER,0.85,2021-05-24,12201.25,0.01,1.56,22.18,0.43,1.26,2.63,5.25,12.72,18.8,5.91,2025-04-22,51,ASBF,ASBFN001
DCIP,QUỸ ĐẦU TƯ TRÁI PHIẾU GIA TĂNG THU NHẬP CỐ ĐỊNH DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2021-05-23,11426.96,0.01,1.65,14.32,0.43,1.4,2.75,5.55,13.28,16.0,5.07,2025-04-22,67,VFMVFC,VFMVFCN001
VLBF,QUỸ ĐẦU TƯ TRÁI PHIẾU THANH KHOẢN VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.9,2021-08-12,11908.54,0.01,1.54,19.08,0.43,1.24,2.45,4.65,10.34,15.49,4.92,2025-04-22,53,VLBF,VLBFN001
VCBF-MGF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2021-10-28,11927.83,1.07,-11.21,19.28,-11.19,-9.67,-6.22,3.93,37.52,13.83,4.41,2025-04-22,46,VCBFMGF,VCBFMGFN001
