short_name,industry,net_asset_percent
MBVF,Ngân hàng,46.82
MBVF,Tiện ích,12.65
MBVF,Bất động sản,11.57
MBVF,Vật liệu xây dựng,4.71
MBVF,"Sản xuất Thiết bị, máy móc",4.64
MBVF,Bán buôn,4.28
MBVF,Thực phẩm - Đồ uống,3.65
MBVF,Sản xuất Phụ trợ,3.55
MBVF,Thiết bị điện,1.21
MBVF,Sản xuất Hàng gia dụng,0.87
VCBF-MGF,Ngân hàng,20.22
VCBF-MGF,Bất động sản,9.86
VCBF-MGF,Công nghệ và thông tin,8.63
VCBF-MGF,Sản xuất Phụ trợ,6.76
VCBF-MGF,Tiện ích,6.37
VCBF-MGF,Bán lẻ,5.66
VCBF-MGF,Vận tải - Kho bãi,5.58
VCBF-MGF,Xây dựng,5.55
VCBF-MGF,Vật liệu xây dựng,4.35
VCBF-MGF,Bảo hiểm,3.86
VCBF-MGF,Thực phẩm - Đồ uống,2.76
VCBF-MGF,Chứng khoán,2.67
VCBF-MGF,Chăm sóc sức khỏe,2.39
VCBF-MGF,Khai khoáng,1.87
VCBF-MGF,Thiết bị điện,1.66
VCBF-MGF,Bán buôn,1.42
VCBF-MGF,Sản xuất Hàng gia dụng,1.39
VCBF-MGF,Sản xuất,0.41
VCBF-TBF,Ngân hàng,20.77
VCBF-TBF,Thực phẩm - Đồ uống,12.69
VCBF-TBF,Bất động sản,10.62
VCBF-TBF,Công nghệ và thông tin,6.97
VCBF-TBF,Sản xuất Phụ trợ,3.95
VCBF-TBF,Bán lẻ,3.72
VCBF-TBF,Vận tải - Kho bãi,3.48
VCBF-TBF,Tiện ích,3.09
VCBF-TBF,Vật liệu xây dựng,3.04
VCBF-TBF,Xây dựng,1.93
VCBF-TBF,Bảo hiểm,1.88
VCBF-TBF,Chứng khoán,1.8
VCBF-TBF,Khai khoáng,1.18
VCBF-TBF,Sản xuất Hàng gia dụng,0.86
VCBF-TBF,Thiết bị điện,0.68
BVPF,Ngân hàng,28.73
BVPF,Công nghệ và thông tin,12.02
BVPF,Xây dựng,7.73
BVPF,Tiện ích,7.71
BVPF,Bất động sản,7.21
BVPF,Vật liệu xây dựng,4.38
BVPF,Bán lẻ,3.77
BVPF,"Sản xuất Thiết bị, máy móc",3.77
BVPF,Sản xuất Phụ trợ,3.56
BVPF,Thực phẩm - Đồ uống,3.34
BVPF,Bán buôn,2.79
BVPF,Sản xuất Hàng gia dụng,2.48
SSISCA,Ngân hàng,35.22
SSISCA,Bất động sản,16.32
SSISCA,Công nghệ và thông tin,7.18
SSISCA,Sản xuất Nhựa - Hóa chất,5.57
SSISCA,Vật liệu xây dựng,5.27
SSISCA,Bán lẻ,4.19
SSISCA,Thực phẩm - Đồ uống,3.66
SSISCA,Thiết bị điện,3.38
SSISCA,"Sản xuất Thiết bị, máy móc",2.95
SSISCA,Vận tải - Kho bãi,2.81
SSISCA,Tiện ích,2.51
SSISCA,Sản xuất Phụ trợ,1.76
SSISCA,Chứng khoán,1.25
SSISCA,Khai khoáng,0.96
VIBF,Ngân hàng,17.42
VIBF,Bất động sản,6.34
VIBF,Vật liệu xây dựng,3.75
VIBF,Sản xuất Nhựa - Hóa chất,3.01
VIBF,Vận tải - Kho bãi,3.01
VIBF,"Sản xuất Thiết bị, máy móc",3.01
VIBF,Công nghệ và thông tin,2.68
VIBF,Tiện ích,2.6
VIBF,Khai khoáng,2.44
VIBF,Chứng khoán,2.36
VIBF,Khác,2.17
VIBF,Nông - Lâm - Ngư,1.89
VIBF,Xây dựng,1.84
VIBF,Bán lẻ,1.81
VIBF,Sản xuất Phụ trợ,1.14
VIBF,Thực phẩm - Đồ uống,1.09
VCAMBF,Ngân hàng,23.69
VCAMBF,Bất động sản,8.7
VCAMBF,Công nghệ và thông tin,6.53
VCAMBF,Vận tải - Kho bãi,6.36
VCAMBF,Bán lẻ,3.67
VCAMBF,Vật liệu xây dựng,3.11
VCAMBF,Thực phẩm - Đồ uống,2.65
VCAMBF,Sản xuất Nhựa - Hóa chất,2.35
VCAMBF,Xây dựng,2.06
VCAMBF,Tiện ích,1.8
VCAMBF,Chứng khoán,1.78
VCAMBF,"Sản xuất Thiết bị, máy móc",1.67
VCAMBF,Bảo hiểm,1.33
VCAMBF,Khai khoáng,1.28
VCAMBF,Năng lượng,0.72
VLGF,Ngân hàng,32.1
VLGF,Bất động sản,11.48
VLGF,Bán lẻ,9.64
VLGF,Công nghệ và thông tin,9.06
VLGF,Sản xuất Phụ trợ,7.83
VLGF,Tiện ích,6.36
VLGF,"Sản xuất Thiết bị, máy móc",4.98
VLGF,Thực phẩm - Đồ uống,3.69
VLGF,Sản xuất Hàng gia dụng,3.3
VLGF,Vận tải - Kho bãi,3.02
MAFBAL,Ngân hàng,22.48
MAFBAL,Bất động sản,16.13
MAFBAL,Thực phẩm - Đồ uống,6.74
MAFBAL,Công nghệ và thông tin,4.0
MAFBAL,Vật liệu xây dựng,3.92
MAFBAL,Tiện ích,2.21
MAFBAL,Bán lẻ,2.07
MAFBAL,Vận tải - Kho bãi,1.6
MAFBAL,Sản xuất Nhựa - Hóa chất,1.2
MAFBAL,Khai khoáng,1.03
MAFBAL,Xây dựng,1.0
MAFBAL,Chứng khoán,0.99
MAFBAL,Sản xuất Phụ trợ,0.84
MAFBAL,Thiết bị điện,0.72
MAFBAL,Chế biến thủy sản,0.49
DCDS,Ngân hàng,28.88
DCDS,Bất động sản,16.24
DCDS,Bán lẻ,8.44
DCDS,Công nghệ và thông tin,5.11
DCDS,Vật liệu xây dựng,4.61
DCDS,Vận tải - Kho bãi,3.67
DCDS,Thiết bị điện,2.59
DCDS,Xây dựng,1.86
DCDS,Thực phẩm - Đồ uống,1.66
DCDS,Tiện ích,1.24
DCDS,Chứng khoán,1.19
DCDS,Sản xuất Nhựa - Hóa chất,1.16
DCDS,"Sản xuất Thiết bị, máy móc",0.81
DCDS,"Dịch vụ tư vấn, hỗ trợ",0.56
DCDS,Nông - Lâm - Ngư,0.36
DCDS,Dịch vụ viễn thông,0.25
DCDS,Bán buôn,0.17
VCBF-BCF,Ngân hàng,34.44
VCBF-BCF,Công nghệ và thông tin,10.67
VCBF-BCF,Bất động sản,6.92
VCBF-BCF,Thực phẩm - Đồ uống,6.73
VCBF-BCF,Bán lẻ,6.05
VCBF-BCF,Sản xuất Phụ trợ,6.03
VCBF-BCF,Vận tải - Kho bãi,5.27
VCBF-BCF,Tiện ích,4.91
VCBF-BCF,Vật liệu xây dựng,4.65
VCBF-BCF,Chứng khoán,2.85
VCBF-BCF,Bảo hiểm,2.47
VCBF-BCF,Xây dựng,2.16
VCBF-BCF,Khai khoáng,1.89
VCBF-BCF,Thiết bị điện,0.99
ENF,Ngân hàng,31.41
ENF,Bất động sản,7.52
ENF,Công nghệ và thông tin,4.92
ENF,Khác,4.68
ENF,Vật liệu xây dựng,4.36
ENF,Chứng khoán,3.94
ENF,Thiết bị điện,3.26
ENF,Vận tải - Kho bãi,2.5
ENF,Thực phẩm - Đồ uống,2.44
ENF,Xây dựng,1.67
ENF,Bán lẻ,1.64
ENF,Sản xuất Phụ trợ,1.53
ENF,Chế biến thủy sản,0.98
ENF,Khai khoáng,0.85
ENF,Tiện ích,0.74
VESAF,Ngân hàng,38.62
VESAF,Bảo hiểm,7.29
VESAF,Vận tải - Kho bãi,6.81
VESAF,Công nghệ và thông tin,6.22
VESAF,Sản xuất Phụ trợ,5.49
VESAF,Bán lẻ,4.7
VESAF,Bất động sản,4.42
VESAF,Chế biến thủy sản,3.16
VESAF,Chứng khoán,3.03
VESAF,Khai khoáng,2.87
VESAF,Sản xuất Nhựa - Hóa chất,2.86
VESAF,Thực phẩm - Đồ uống,1.96
VESAF,Xây dựng,1.84
VESAF,Thiết bị điện,1.76
VESAF,Tiện ích,1.13
VESAF,Dịch vụ viễn thông,0.95
BVFED,Ngân hàng,58.22
BVFED,Bất động sản,10.47
BVFED,Chứng khoán,7.58
BVFED,Vật liệu xây dựng,5.48
BVFED,Thực phẩm - Đồ uống,5.36
BVFED,Tiện ích,4.58
BVFED,Bán lẻ,3.99
BVFED,Công nghệ và thông tin,1.17
BVFED,Vận tải - Kho bãi,0.46
BVFED,Sản xuất Nhựa - Hóa chất,0.25
BVFED,Bán buôn,0.19
DCDE,Ngân hàng,37.38
DCDE,Bất động sản,6.88
DCDE,Bán lẻ,6.71
DCDE,Thực phẩm - Đồ uống,5.19
DCDE,Vật liệu xây dựng,4.86
DCDE,Tiện ích,3.61
DCDE,Công nghệ và thông tin,2.97
DCDE,Xây dựng,2.39
DCDE,Sản xuất Nhựa - Hóa chất,2.17
DCDE,Bảo hiểm,1.94
DCDE,Chứng khoán,1.91
DCDE,"Sản xuất Thiết bị, máy móc",1.54
DCDE,Thiết bị điện,1.43
DCDE,Vận tải - Kho bãi,1.26
DCDE,"Dịch vụ tư vấn, hỗ trợ",0.93
DCDE,Nông - Lâm - Ngư,0.58
VEOF,Ngân hàng,37.03
VEOF,Bất động sản,15.47
VEOF,Sản xuất Nhựa - Hóa chất,6.51
VEOF,Bán lẻ,5.47
VEOF,Vật liệu xây dựng,5.29
VEOF,Công nghệ và thông tin,4.95
VEOF,Sản xuất Phụ trợ,3.87
VEOF,Tiện ích,3.2
VEOF,Vận tải - Kho bãi,3.02
VEOF,Chế biến thủy sản,2.92
