date,nav_per_unit,short_name
2019-08-09,10000.0,VCBF-FIF
2019-08-21,9997.36,VCBF-FIF
2019-08-28,10000.97,VCBF-FIF
2019-08-31,10006.39,VCBF-FIF
2019-09-04,10009.46,VCBF-FIF
2019-09-11,10017.05,VCBF-FIF
2019-09-18,10024.53,VCBF-FIF
2019-09-25,10033.69,VCBF-FIF
2019-09-30,10042.23,VCBF-FIF
2019-10-02,10043.64,VCBF-FIF
2019-10-09,10053.5,VCBF-FIF
2019-10-16,10063.4,VCBF-FIF
2019-10-23,10068.71,VCBF-FIF
2019-10-30,10078.42,VCBF-FIF
2019-10-31,10079.72,VCBF-FIF
2019-11-06,10085.89,VCBF-FIF
2019-11-13,10095.81,VCBF-FIF
2019-11-20,10107.57,VCBF-FIF
2019-11-27,10119.37,VCBF-FIF
2019-11-30,10123.53,VCBF-FIF
2019-12-04,10129.81,VCBF-FIF
2019-12-11,10137.79,VCBF-FIF
2019-12-18,10156.7,VCBF-FIF
2019-12-25,10169.4,VCBF-FIF
2019-12-31,10168.96,VCBF-FIF
2020-01-02,10170.93,VCBF-FIF
2020-01-08,10190.62,VCBF-FIF
2020-01-15,10202.75,VCBF-FIF
2020-01-22,10217.92,VCBF-FIF
2020-01-30,10231.44,VCBF-FIF
2020-01-31,10238.37,VCBF-FIF
2020-02-05,10242.82,VCBF-FIF
2020-02-12,10256.97,VCBF-FIF
2020-02-19,10266.64,VCBF-FIF
2020-02-26,10278.41,VCBF-FIF
2020-02-29,10285.14,VCBF-FIF
2020-03-04,10290.91,VCBF-FIF
2020-03-11,10300.74,VCBF-FIF
2020-03-18,10306.86,VCBF-FIF
2020-03-25,10319.37,VCBF-FIF
2020-03-31,10338.9,VCBF-FIF
2020-04-08,10351.46,VCBF-FIF
2020-04-15,10365.81,VCBF-FIF
2020-04-22,10376.54,VCBF-FIF
2020-04-29,10359.99,VCBF-FIF
2020-04-30,10359.78,VCBF-FIF
2020-05-06,10370.91,VCBF-FIF
2020-05-13,10404.57,VCBF-FIF
2020-05-20,10414.57,VCBF-FIF
2020-05-27,10427.58,VCBF-FIF
2020-05-31,10439.11,VCBF-FIF
2020-06-03,10439.69,VCBF-FIF
2020-06-10,10455.37,VCBF-FIF
2020-06-17,10464.55,VCBF-FIF
2020-06-24,10470.36,VCBF-FIF
2020-07-01,10496.13,VCBF-FIF
2020-07-08,10511.61,VCBF-FIF
2020-07-15,10527.81,VCBF-FIF
2020-07-22,10539.38,VCBF-FIF
2020-07-29,10550.5,VCBF-FIF
2020-07-31,10554.79,VCBF-FIF
2020-08-05,10570.78,VCBF-FIF
2020-08-12,10581.5,VCBF-FIF
2020-08-19,10583.04,VCBF-FIF
2020-08-26,10595.15,VCBF-FIF
2020-08-31,10605.47,VCBF-FIF
2020-09-03,10613.55,VCBF-FIF
2020-09-09,10595.68,VCBF-FIF
2020-09-16,10637.59,VCBF-FIF
2020-09-23,10659.36,VCBF-FIF
2020-09-30,10669.04,VCBF-FIF
2020-09-30,10672.22,VCBF-FIF
2020-10-07,10682.58,VCBF-FIF
2020-10-14,10699.5,VCBF-FIF
2020-10-21,10703.45,VCBF-FIF
2020-10-28,10721.34,VCBF-FIF
2020-10-31,10727.08,VCBF-FIF
2020-11-04,10736.36,VCBF-FIF
2020-11-11,10746.45,VCBF-FIF
2020-11-18,10753.91,VCBF-FIF
2020-11-25,10780.32,VCBF-FIF
2020-11-30,10782.76,VCBF-FIF
2020-12-02,10786.86,VCBF-FIF
2020-12-09,10794.96,VCBF-FIF
2020-12-16,10811.21,VCBF-FIF
2020-12-23,10823.91,VCBF-FIF
2020-12-30,10831.13,VCBF-FIF
2020-12-31,10836.0,VCBF-FIF
2021-01-06,10843.75,VCBF-FIF
2021-01-13,10857.54,VCBF-FIF
2021-01-20,10863.31,VCBF-FIF
2021-01-27,10873.53,VCBF-FIF
2021-01-31,10905.04,VCBF-FIF
2021-02-03,10912.75,VCBF-FIF
2021-02-10,10921.77,VCBF-FIF
2021-02-17,10908.56,VCBF-FIF
2021-02-24,10914.24,VCBF-FIF
2021-02-28,10936.56,VCBF-FIF
2021-03-03,10935.35,VCBF-FIF
2021-03-10,10950.49,VCBF-FIF
2021-03-17,10956.51,VCBF-FIF
2021-03-24,10996.36,VCBF-FIF
2021-03-31,11006.47,VCBF-FIF
2021-03-31,11012.77,VCBF-FIF
2021-04-07,10993.03,VCBF-FIF
2021-04-14,10994.67,VCBF-FIF
2021-04-22,11012.57,VCBF-FIF
2021-04-28,11020.55,VCBF-FIF
2021-04-30,11026.6,VCBF-FIF
2021-05-05,11018.35,VCBF-FIF
2021-05-12,11082.43,VCBF-FIF
2021-05-19,11078.97,VCBF-FIF
2021-05-26,11091.89,VCBF-FIF
2021-05-31,11099.87,VCBF-FIF
2021-06-02,11101.98,VCBF-FIF
2021-06-09,11111.12,VCBF-FIF
2021-06-16,11136.81,VCBF-FIF
2021-06-23,11130.02,VCBF-FIF
2021-06-30,11136.05,VCBF-FIF
2021-06-30,11149.36,VCBF-FIF
2021-07-07,11163.43,VCBF-FIF
2021-07-14,11170.6,VCBF-FIF
2021-07-21,11173.99,VCBF-FIF
2021-07-28,11198.94,VCBF-FIF
2021-08-04,11209.19,VCBF-FIF
2021-08-11,11222.12,VCBF-FIF
2021-08-18,11235.15,VCBF-FIF
2021-08-25,11246.6,VCBF-FIF
2021-09-01,11261.1,VCBF-FIF
2021-09-08,11272.66,VCBF-FIF
2021-09-15,11290.66,VCBF-FIF
2021-09-22,11302.28,VCBF-FIF
2021-09-29,11313.78,VCBF-FIF
2021-10-06,11325.84,VCBF-FIF
2021-10-13,11337.61,VCBF-FIF
2021-10-20,11347.63,VCBF-FIF
2021-10-27,11307.52,VCBF-FIF
2021-11-03,11313.63,VCBF-FIF
2021-11-10,11322.04,VCBF-FIF
2021-11-17,11330.89,VCBF-FIF
2021-11-24,11335.56,VCBF-FIF
2021-12-01,11393.29,VCBF-FIF
2021-12-08,11394.79,VCBF-FIF
2021-12-15,11420.55,VCBF-FIF
2021-12-22,11416.27,VCBF-FIF
2021-12-29,11431.5,VCBF-FIF
2022-01-05,11439.46,VCBF-FIF
2022-01-12,11450.86,VCBF-FIF
2022-01-19,11435.65,VCBF-FIF
2022-01-26,11467.05,VCBF-FIF
2022-02-07,11505.96,VCBF-FIF
2022-02-09,11493.92,VCBF-FIF
2022-02-16,11518.22,VCBF-FIF
2022-02-23,11534.68,VCBF-FIF
2022-03-02,11558.93,VCBF-FIF
2022-03-09,11564.86,VCBF-FIF
2022-03-16,11575.57,VCBF-FIF
2022-03-23,11624.64,VCBF-FIF
2022-03-30,11687.68,VCBF-FIF
2022-04-06,11653.37,VCBF-FIF
2022-04-13,11665.1,VCBF-FIF
2022-04-20,11638.27,VCBF-FIF
2022-04-27,11641.84,VCBF-FIF
2022-05-04,11654.2,VCBF-FIF
2022-05-11,11714.52,VCBF-FIF
2022-05-18,11738.84,VCBF-FIF
2022-05-25,11726.11,VCBF-FIF
2022-06-01,11780.6,VCBF-FIF
2022-06-08,11819.75,VCBF-FIF
2022-06-15,11835.09,VCBF-FIF
2022-06-22,11860.9,VCBF-FIF
2022-06-29,11876.65,VCBF-FIF
2022-07-05,11856.44,VCBF-FIF
2022-07-07,11861.23,VCBF-FIF
2022-07-12,11828.78,VCBF-FIF
2022-07-14,11833.3,VCBF-FIF
2022-07-19,11864.35,VCBF-FIF
2022-07-21,11870.98,VCBF-FIF
2022-07-26,11843.42,VCBF-FIF
2022-07-28,11850.59,VCBF-FIF
2022-08-02,11860.98,VCBF-FIF
2022-08-04,11863.9,VCBF-FIF
2022-08-09,11869.63,VCBF-FIF
