stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
VHM121025,Bất động sản,9.42,BOND,2025-04-08,33.0,VCBF-FIF
MSN123008,Thực phẩm - Đồ uống,8.48,BOND,2025-04-08,33.0,VCBF-FIF
VBA122001,Ngân hàng,7.89,BOND,2025-04-08,33.0,VCBF-FIF
MML121021,Thực phẩm - Đồ uống,6.93,BOND,2025-04-08,33.0,VCBF-FIF
BCM12406,Bất động sản,6.83,UNLISTED_BOND,2025-04-08,33.0,VCBF-FIF
TNG122017,Sản xuất Hàng gia dụng,5.93,BOND,2025-04-08,33.0,VCBF-FIF
VN00VS040326,Khác,1.08,UNLISTED_BOND,2025-04-08,33.0,VCBF-FIF
VBA124019,Ngân hàng,0.8,BOND,2025-04-08,33.0,VCBF-FIF
VBA123036,Ngân hàng,0.55,BOND,2025-04-08,33.0,VCBF-FIF
MSN123009,Thực phẩm - Đồ uống,18.82,BOND,2025-04-08,45.0,PVBF
BAF123020,Nông - Lâm - Ngư,17.41,BOND,2025-04-08,45.0,PVBF
VHM121025,Bất động sản,14.25,BOND,2025-04-08,45.0,PVBF
VIC123029,Bất động sản,10.3,BOND,2025-04-08,45.0,PVBF
SBT12401,Thực phẩm - Đồ uống,8.5,BOND,2025-04-08,45.0,PVBF
CVT122009,Vật liệu xây dựng,18.03,BOND,2025-04-08,37.0,VNDBF
VHM121025,Bất động sản,8.58,BOND,2025-04-08,37.0,VNDBF
MSN123008,Thực phẩm - Đồ uống,7.55,BOND,2025-04-08,37.0,VNDBF
VBA122001,Ngân hàng,6.51,BOND,2025-04-08,37.0,VNDBF
KDH12101,Bất động sản,6.47,BOND,2025-04-08,37.0,VNDBF
LPB123008,Ngân hàng,5.82,BOND,2025-04-08,37.0,VNDBF
VBA123036,Ngân hàng,5.57,BOND,2025-04-08,37.0,VNDBF
HDB124018,Ngân hàng,5.41,BOND,2025-04-08,37.0,VNDBF
MML121021,Thực phẩm - Đồ uống,4.41,BOND,2025-04-08,37.0,VNDBF
CII424002,Xây dựng,3.5,BOND,2025-04-08,37.0,VNDBF
VHM121025,Bất động sản,13.44,BOND,2025-04-08,50.0,MAFF
MSN123008,Thực phẩm - Đồ uống,12.86,BOND,2025-04-08,50.0,MAFF
VIC123029,Bất động sản,10.28,BOND,2025-04-08,50.0,MAFF
BVBANK2531-02 (3),Ngân hàng,6.19,BOND,2025-04-08,50.0,MAFF
MML121021,Thực phẩm - Đồ uống,6.14,BOND,2025-04-08,50.0,MAFF
LPB121036,Ngân hàng,5.17,BOND,2025-04-08,50.0,MAFF
LPB123015,Ngân hàng,5.0,BOND,2025-04-08,50.0,MAFF
LPB123008,Ngân hàng,4.52,BOND,2025-04-08,50.0,MAFF
KDH12202,Bất động sản,2.53,BOND,2025-04-08,50.0,MAFF
LPB122011,Ngân hàng,2.36,BOND,2025-04-08,50.0,MAFF
MSN123008,Thực phẩm - Đồ uống,8.69,BOND,2025-04-10,21.0,VFF
HDB124006,Ngân hàng,7.74,BOND,2025-04-10,21.0,VFF
MML121021,Thực phẩm - Đồ uống,5.68,BOND,2025-04-10,21.0,VFF
TCX124011,Khác,5.04,BOND,2025-04-10,21.0,VFF
BCM12406,Bất động sản,3.06,UNLISTED_BOND,2025-04-10,21.0,VFF
TCX124012,Khác,3.0,BOND,2025-04-10,21.0,VFF
DSE125004,Chứng khoán,2.14,BOND,2025-04-10,21.0,VFF
KDH12202,Bất động sản,2.14,UNLISTED_BOND,2025-04-10,21.0,VFF
KBC12401,Bất động sản,1.53,UNLISTED_BOND,2025-04-10,21.0,VFF
BAF122029,Nông - Lâm - Ngư,1.1,BOND,2025-04-10,21.0,VFF
NVL122001,Bất động sản,69.02,BOND,2025-04-08,48.0,MBBOND
BAF122029,Nông - Lâm - Ngư,4.0,BOND,2025-04-08,48.0,MBBOND
VIC123029,Bất động sản,9.3,BOND,2025-04-08,65.0,ABBF
MSN123008,Thực phẩm - Đồ uống,8.36,BOND,2025-04-08,65.0,ABBF
MML121021,Thực phẩm - Đồ uống,5.33,BOND,2025-04-08,65.0,ABBF
TCX124012,Khác,5.11,BOND,2025-04-08,65.0,ABBF
VHM121025,Bất động sản,3.83,BOND,2025-04-08,65.0,ABBF
MSN123009,Thực phẩm - Đồ uống,3.79,BOND,2025-04-08,65.0,ABBF
VIC123028,Bất động sản,3.22,BOND,2025-04-08,65.0,ABBF
VIC124004,Bất động sản,2.77,BOND,2025-04-08,65.0,ABBF
TCX124011,Khác,2.72,BOND,2025-04-08,65.0,ABBF
VBA122001,Ngân hàng,2.5,BOND,2025-04-08,65.0,ABBF
VPI124001,Bất động sản,9.13,BOND,2025-04-08,27.0,DCBF
TNG122017,Sản xuất Hàng gia dụng,6.61,BOND,2025-04-08,27.0,DCBF
MSN123008,Thực phẩm - Đồ uống,6.23,BOND,2025-04-08,27.0,DCBF
CII124021,Xây dựng,5.91,BOND,2025-04-08,27.0,DCBF
KBC12401,Bất động sản,5.54,UNLISTED_BOND,2025-04-08,27.0,DCBF
HDB124018,Ngân hàng,3.58,BOND,2025-04-08,27.0,DCBF
TCX124013,Khác,3.34,BOND,2025-04-08,27.0,DCBF
BAF123020,Nông - Lâm - Ngư,2.71,BOND,2025-04-08,27.0,DCBF
MML121021,Thực phẩm - Đồ uống,2.38,BOND,2025-04-08,27.0,DCBF
BAF122029,Nông - Lâm - Ngư,2.33,BOND,2025-04-08,27.0,DCBF
BCM12406,Bất động sản,12.44,BOND,2025-04-08,8.0,SSIBF
MSN123009,Thực phẩm - Đồ uống,10.7,BOND,2025-04-08,8.0,SSIBF
VIC123029,Bất động sản,4.86,BOND,2025-04-08,8.0,SSIBF
MML121021,Thực phẩm - Đồ uống,4.69,BOND,2025-04-08,8.0,SSIBF
HDB124018,Ngân hàng,4.01,BOND,2025-04-08,8.0,SSIBF
VBA122001,Ngân hàng,13.81,BOND,2025-04-08,13.0,BVBF
SHBC7Y202401,Ngân hàng,9.66,BOND,2025-04-08,13.0,BVBF
TCX124013,Khác,4.82,BOND,2025-04-08,13.0,BVBF
ACB,Ngân hàng,14.88,STOCK,2025-04-10,47.0,MBVF
TCB,Ngân hàng,14.8,STOCK,2025-04-10,47.0,MBVF
QTP,Tiện ích,9.01,STOCK,2025-04-10,47.0,MBVF
VRE,Bất động sản,5.19,STOCK,2025-04-10,47.0,MBVF
VIB,Ngân hàng,4.97,STOCK,2025-04-10,47.0,MBVF
VPB,Ngân hàng,4.89,STOCK,2025-04-10,47.0,MBVF
HPG,Vật liệu xây dựng,4.71,STOCK,2025-04-10,47.0,MBVF
VEA,"Sản xuất Thiết bị, máy móc",4.64,STOCK,2025-04-10,47.0,MBVF
PLX,Bán buôn,4.28,STOCK,2025-04-10,47.0,MBVF
QNS,Thực phẩm - Đồ uống,3.65,STOCK,2025-04-10,47.0,MBVF
KBC12401,Bất động sản,8.35,UNLISTED_BOND,2025-04-04,67.0,DCIP
VPI124001,Bất động sản,5.88,BOND,2025-04-04,67.0,DCIP
MSN123008,Thực phẩm - Đồ uống,5.66,BOND,2025-04-04,67.0,DCIP
TCX124013,Khác,4.03,BOND,2025-04-04,67.0,DCIP
BAF123020,Nông - Lâm - Ngư,2.28,BOND,2025-04-04,67.0,DCIP
BAF122029,Nông - Lâm - Ngư,2.25,BOND,2025-04-04,67.0,DCIP
TCX124011,Khác,1.51,BOND,2025-04-04,67.0,DCIP
TNG122017,Sản xuất Hàng gia dụng,1.05,BOND,2025-04-04,67.0,DCIP
KDH12202,Bất động sản,0.16,UNLISTED_BOND,2025-04-04,67.0,DCIP
BAF122029,Nông - Lâm - Ngư,18.83,BOND,2025-04-03,53.0,VLBF
