price,acc_volume,acc_buy_volume,acc_sell_volume,acc_undefined_volume,symbol
6940,400,400,0,0,AAA
6930,200,200,0,0,AAA
6920,13200,10400,2800,0,AAA
6910,12400,4500,7900,0,AAA
6900,74700,44000,30700,0,AAA
6890,48900,6600,42300,0,AAA
6880,65000,2600,62400,0,AAA
6870,54100,9600,44500,0,AAA
6860,32800,12700,20100,0,AAA
6850,162600,82900,79700,0,AAA
6840,36700,17600,19100,0,AAA
6830,21500,0,21500,0,AAA
6820,45200,0,12700,32500,AAA
6810,28100,0,28100,0,AAA
6800,117800,400,117400,0,AAA
6790,40300,27800,12500,0,AAA
6780,9300,3300,6000,0,AAA
6770,3700,0,3700,0,AAA
6760,15600,1600,14000,0,AAA
6750,18400,2000,16400,0,AAA
6740,6300,0,6300,0,AAA
6730,12300,500,11800,0,AAA
6720,5300,0,5300,0,AAA
6710,4100,0,4100,0,AAA
6700,50600,200,50400,0,AAA
6690,2600,100,2500,0,AAA
6680,300,0,300,0,AAA
6670,8100,8100,0,0,AAA
6660,700,400,300,0,AAA
6650,33200,14300,18900,0,AAA
6640,3300,1400,1900,0,AAA
6630,18900,1000,17900,0,AAA
6620,21200,6700,14500,0,AAA
6610,7100,0,7100,0,AAA
6600,97000,39100,57900,0,AAA
6590,10200,8500,1700,0,AAA
6580,41200,14700,26500,0,AAA
6570,102800,41100,29700,32000,AAA
6560,73100,57400,15700,0,AAA
6550,33100,13800,19300,0,AAA
6540,58700,16300,42400,0,AAA
6530,36800,30900,5900,0,AAA
6520,15000,2200,12800,0,AAA
6510,33900,10500,23400,0,AAA
6500,191600,64300,127300,0,AAA
6490,84300,49000,35300,0,AAA
6480,68900,4700,64200,0,AAA
6470,71800,14400,57400,0,AAA
6460,47600,36700,10900,0,AAA
6450,338800,40000,298800,0,AAA
6440,69800,38800,31000,0,AAA
6430,271900,34700,237200,0,AAA
6420,1052000,318900,733100,0,AAA
24400,91900,91900,0,0,ACB
24350,450900,317400,133500,0,ACB
24300,648200,33000,91800,523400,ACB
24250,69400,55000,14400,0,ACB
24200,534500,440800,93700,0,ACB
24150,1056000,224500,831500,0,ACB
24100,849000,46700,568100,234200,ACB
24050,734700,500500,234200,0,ACB
24000,1179200,207400,971800,0,ACB
23950,313400,195500,117900,0,ACB
23900,625500,428300,197200,0,ACB
23850,437400,113000,324400,0,ACB
23800,300600,55200,245400,0,ACB
23750,85800,28600,57200,0,ACB
23700,369700,235100,134600,0,ACB
23650,519200,119400,399800,0,ACB
23600,465800,171600,294200,0,ACB
23550,266200,86400,179800,0,ACB
23500,706500,104600,601900,0,ACB
23450,139000,34600,104400,0,ACB
23400,103600,15700,87900,0,ACB
23350,185500,23300,162200,0,ACB
23300,91500,15300,76200,0,ACB
23250,59800,15600,44200,0,ACB
23200,595800,328700,267100,0,ACB
23150,494400,228500,265900,0,ACB
23100,318800,10700,308100,0,ACB
23050,61600,51700,9900,0,ACB
23000,609800,172000,437800,0,ACB
22950,40300,21900,18400,0,ACB
22900,172100,62000,110100,0,ACB
22850,64500,10000,54500,0,ACB
22800,113600,39600,74000,0,ACB
22750,418800,415000,3800,0,ACB
22700,392100,104100,288000,0,ACB
22650,42100,0,42100,0,ACB
15600,23900,3900,0,20000,ANV
15550,600,0,600,0,ANV
15500,8100,1200,6900,0,ANV
15450,7600,6900,700,0,ANV
15400,80000,31600,48400,0,ANV
15350,77200,1100,76100,0,ANV
15300,58100,1000,57100,0,ANV
15250,24500,400,24100,0,ANV
