time,open,high,low,close,volume,symbol,category
2020-01,10.3,10.42,9.29,9.29,27655400,AAA,stock
2020-02,8.89,11.15,8.65,9.98,45717740,AAA,stock
2020-03,9.98,10.42,7.43,7.59,39128880,AAA,stock
2020-04,7.68,10.62,7.59,9.98,49682770,AAA,stock
2020-05,9.66,10.62,9.37,10.06,45732900,AAA,stock
2020-06,10.1,11.39,9.45,9.74,54384490,AAA,stock
2020-07,9.74,10.58,8.65,8.81,35511960,AAA,stock
2020-08,8.81,10.34,8.77,10.14,65274810,AAA,stock
2020-09,10.1,10.6,9.9,10.22,48107890,AAA,stock
2020-10,10.35,10.73,9.54,9.63,37576550,AAA,stock
2020-11,9.67,11.4,9.59,11.22,39669190,AAA,stock
2020-12,10.96,12.99,10.87,12.72,78664820,AAA,stock
2021-01,12.81,14.05,10.78,11.57,72989700,AAA,stock
2021-02,10.78,13.03,10.43,12.63,39858200,AAA,stock
2021-03,12.81,15.37,12.41,14.67,86055800,AAA,stock
2021-04,14.58,16.08,13.78,14.53,97732300,AAA,stock
2021-05,13.96,14.71,12.99,13.47,81150700,AAA,stock
2021-06,13.65,18.55,13.25,17.23,273949600,AAA,stock
2021-07,17.23,17.36,12.94,14.27,141976700,AAA,stock
2021-08,14.27,16.3,14.18,15.68,164342700,AAA,stock
2021-09,16.0,17.2,15.3,15.7,119209300,AAA,stock
2021-10,15.7,17.45,15.5,17.2,123881100,AAA,stock
2021-11,17.2,19.1,16.4,16.85,184058000,AAA,stock
2021-12,16.85,22.25,15.95,20.2,189761500,AAA,stock
2022-01,20.1,23.4,16.1,16.5,135619300,AAA,stock
2022-02,17.0,18.85,16.7,17.65,71842000,AAA,stock
2022-03,17.6,19.9,17.05,18.7,151109600,AAA,stock
2022-04,18.8,19.4,12.2,14.05,101643600,AAA,stock
2022-05,14.1,14.15,10.75,12.6,82527200,AAA,stock
2022-06,12.65,13.75,10.2,11.3,87021400,AAA,stock
2022-07,11.2,12.85,10.8,12.25,85538600,AAA,stock
2022-08,12.3,13.3,11.75,11.95,111833800,AAA,stock
2022-09,11.95,12.1,9.55,9.89,47512459,AAA,stock
2022-10,9.89,9.9,6.8,7.7,52956853,AAA,stock
2022-11,7.8,8.08,5.3,7.55,72454943,AAA,stock
2022-12,7.6,8.19,6.68,6.83,59152028,AAA,stock
2023-01,6.81,8.33,6.81,8.22,37575686,AAA,stock
2023-02,8.26,9.18,7.8,8.69,85589783,AAA,stock
2023-03,8.7,9.46,8.63,9.29,58497407,AAA,stock
2023-04,9.3,11.0,9.16,10.5,67923585,AAA,stock
2023-05,10.4,11.55,10.2,11.4,120583550,AAA,stock
2023-06,11.45,11.9,10.6,10.8,122922617,AAA,stock
2023-07,10.95,12.65,10.7,12.15,213040387,AAA,stock
2023-08,12.15,12.45,10.15,10.8,222666806,AAA,stock
2023-09,10.9,11.3,8.88,9.34,107277796,AAA,stock
2023-10,9.4,9.58,7.9,8.0,49679628,AAA,stock
2023-11,8.05,9.55,7.97,9.07,59127908,AAA,stock
2023-12,9.15,9.9,9.01,9.45,44111233,AAA,stock
2024-01,9.49,10.5,9.38,10.1,72318595,AAA,stock
2024-02,10.15,11.4,10.1,11.3,79829597,AAA,stock
2024-03,11.4,11.5,10.25,11.2,72199879,AAA,stock
2024-04,11.2,11.6,9.39,9.78,64631781,AAA,stock
2024-05,10.25,12.45,9.98,11.85,126196223,AAA,stock
2024-06,12.0,12.35,10.85,11.05,119373776,AAA,stock
2024-07,11.05,12.6,11.0,11.65,142292643,AAA,stock
2024-08,11.65,11.75,10.0,10.1,127990100,AAA,stock
2024-09,10.05,10.35,9.58,9.69,54426400,AAA,stock
2024-10,9.72,9.83,8.79,8.8,38188500,AAA,stock
2024-11,8.8,8.82,8.08,8.48,31170600,AAA,stock
2024-12,8.5,9.19,8.46,8.72,35510400,AAA,stock
2020-01,7.88,8.53,7.6,7.94,38000928,ACB,stock
2020-02,7.7,9.36,7.5,8.7,101498761,ACB,stock
2020-03,8.43,9.12,6.01,6.15,137345358,ACB,stock
2020-04,5.56,7.7,5.56,7.08,60271723,ACB,stock
2020-05,7.08,8.19,6.94,7.91,80182951,ACB,stock
2020-06,7.94,9.15,7.74,7.88,105387022,ACB,stock
2020-07,7.88,8.64,7.22,7.77,61339189,ACB,stock
2020-08,7.63,9.79,7.63,9.52,136463516,ACB,stock
2020-09,9.52,10.24,9.12,10.1,127583275,ACB,stock
2020-10,10.01,11.68,9.97,10.82,256478283,ACB,stock
2020-11,10.87,12.48,10.78,12.21,182567800,ACB,stock
2020-12,12.21,13.16,11.9,12.62,190029910,ACB,stock
2021-01,12.82,13.88,11.0,12.03,208935600,ACB,stock
2021-02,12.03,14.98,11.81,14.84,159595900,ACB,stock
2021-03,15.0,15.38,13.97,14.95,209493200,ACB,stock
2021-04,15.02,15.94,14.41,15.56,162144000,ACB,stock
2021-05,15.27,18.61,15.04,18.59,204827800,ACB,stock
2021-06,19.08,20.79,17.96,20.04,245027800,ACB,stock
2021-07,19.95,21.44,17.46,20.29,221338700,ACB,stock
2021-08,19.93,20.68,17.29,17.96,236094200,ACB,stock
2021-09,17.96,18.38,17.49,17.71,98246000,ACB,stock
2021-10,17.68,18.52,17.18,18.52,99752700,ACB,stock
2021-11,18.41,19.95,18.19,18.69,142395700,ACB,stock
2021-12,18.58,19.39,17.77,19.37,77103400,ACB,stock
2022-01,19.53,20.18,18.13,19.39,111583300,ACB,stock
2022-02,19.65,20.4,18.78,19.03,139978300,ACB,stock
2022-03,19.08,19.25,18.13,18.55,102690700,ACB,stock
2022-04,18.55,19.17,16.84,18.36,108239000,ACB,stock
2022-05,18.1,18.24,15.44,17.71,61646100,ACB,stock
2022-06,17.85,18.21,15.79,16.84,59779200,ACB,stock
2022-07,16.73,17.47,16.49,17.26,46472100,ACB,stock
2022-08,17.3,17.75,16.98,17.3,74908500,ACB,stock
